"decimalLongitude","decimalLatitude","scientificName","abundance","dataset"
-48.38758,-27.60351,"acch",3,"gaspar"
-48.36381,-27.28436,"acch",3,"gaspar"
-48.37246,-27.27833,"acch",3,"gaspar"
-48.36848,-27.27704,"acch",3,"gaspar"
-48.33167,-27.26447,"acch",5,"gaspar"
-48.3991,-27.17457,"acch",5,"gaspar"
-46.17621,-24.31684,"acch",5,"gaspar"
-45.702491,-24.105182,"acch",15,"gaspar"
-45.698116,-24.100227,"acch",10,"gaspar"
-45.688487,-24.097748,"acch",18,"gaspar"
-45.693289,-24.095842,"acch",35,"gaspar"
-45.28362,-23.93538,"acch",4,"gaspar"
-45.15812,-23.80578,"acch",8,"gaspar"
-44.37268,-23.16732,"acch",3,"gaspar"
-44.31005,-23.08497,"acch",3,"gaspar"
-44.36253,-23.0711,"acch",38,"gaspar"
-44.5462,-23.0478,"acch",13,"gaspar"
-48.19529,-23.02797,"acch",20,"gaspar"
-42.00686,-23.01011,"acch",125,"gaspar"
-42.00801,-23.00638,"acch",8,"gaspar"
-42.01305,-22.99786,"acch",15,"gaspar"
-41.99878,-22.99111,"acch",5,"gaspar"
-41.99264,-22.98628,"acch",3,"gaspar"
-41.98448,-22.98048,"acch",3,"gaspar"
-41.97975,-22.9782,"acch",5,"gaspar"
-42.00413,-22.96988,"acch",3,"gaspar"
-41.99416,-22.96839,"acch",3,"gaspar"
-41.99372,-22.96573,"acch",3,"gaspar"
-42.00166,-22.96514,"acch",3,"gaspar"
-40.40759,-20.69963,"acch",5,"gaspar"
-40.36616,-20.67661,"acch",17,"gaspar"
-40.37878,-20.61235,"acch",3,"gaspar"
-40.27839,-20.36322,"acch",4,"gaspar"
-38.71583,-17.97056,"acch",13,"gaspar"
-38.69528,-17.96472,"acch",8,"gaspar"
-38.6625,-17.96278,"acch",3,"gaspar"
-38.69778,-17.96139,"acch",13,"gaspar"
-38.51111,-12.9386,"acch",5,"gaspar"
-38.529,-12.87,"acch",5,"gaspar"
-38.5491,-12.83708,"acch",3,"gaspar"
-38.5253,-12.83345,"acch",4,"gaspar"
-38.57166,-12.81472,"acch",3,"gaspar"
-38.62637,-12.80916,"acch",5,"gaspar"
-35.19149,-9.024256,"acch",3,"gaspar"
-35.03442,-6.000694,"acch",4,"gaspar"
-35.10949,-5.980833,"acch",5,"gaspar"
-35.03928,-5.956183,"acch",10,"gaspar"
-35.03718,-5.950039,"acch",5,"gaspar"
-35.04745,-5.9268,"acch",4,"gaspar"
-35.07142,-5.591367,"acch",15,"gaspar"
-35.09007,-5.564467,"acch",8,"gaspar"
-35.0725,-5.56435,"acch",13,"gaspar"
-35.25899,-5.394114,"acch",10,"gaspar"
-35.36343,-5.262117,"acch",20,"gaspar"
-33.80355,-3.875172,"acch",119,"gaspar"
-33.80944,-3.874725,"acch",14,"gaspar"
-33.80944,-3.872986,"acch",68,"gaspar"
-33.81225,-3.872956,"acch",12,"gaspar"
-33.79191,-3.86895,"acch",149,"gaspar"
-32.42278,-3.86684,"acch",35,"gaspar"
-33.81777,-3.866636,"acch",32,"gaspar"
-33.79379,-3.862211,"acch",45,"gaspar"
-33.81884,-3.860347,"acch",20,"gaspar"
-33.81805,-3.859675,"acch",13,"gaspar"
-33.82062,-3.857917,"acch",38,"gaspar"
-32.44599,-3.854376,"acch",3,"gaspar"
-32.44057,-3.846539,"acch",3,"gaspar"
-32.41496,-3.83904,"acch",8,"gaspar"
-32.40364,-3.836316,"acch",39,"gaspar"
-32.39484,-3.834419,"acch",17,"gaspar"
-32.39059,-3.817208,"acch",5,"gaspar"
-32.39017,-3.814548,"acch",7,"gaspar"
-33.87252,-3.798292,"acch",232,"gaspar"
-38.37183,-3.598983,"acch",19,"gaspar"
-38.39165,-3.598067,"acch",5,"gaspar"
-38.38077,-3.5736,"acch",8,"gaspar"
-38.40838,-3.5683,"acch",5,"gaspar"
-44.27903,-0.8703,"acch",8,"gaspar"
-44.264283,-0.869867,"acch",8,"gaspar"
-44.26428,-0.869867,"acch",10,"gaspar"
-82.93333,8.5,"acch",4,"gaspar"
-82.22284,9.365996,"acch",5,"gaspar"
-68.8,12.04,"acch",3,"gaspar"
-68.89,12.08,"acch",5,"gaspar"
-68.95,12.11,"acch",5,"gaspar"
-69.09,12.22,"acch",3,"gaspar"
-69.16,12.38,"acch",52,"gaspar"
-81.745,12.4953,"acch",3,"gaspar"
-81.736,12.527,"acch",4,"gaspar"
-81.697,12.549,"acch",3,"gaspar"
-81.7355,12.5491,"acch",2,"gaspar"
-81.693,12.5652,"acch",14,"gaspar"
-81.6837,12.5859,"acch",2,"gaspar"
-81.6756,12.5951,"acch",2,"gaspar"
-81.24043,13.17715,"acch",1,"gaspar"
-81.22526,13.18906,"acch",1,"gaspar"
-81.24985,13.21428,"acch",1,"gaspar"
-81.20398,13.22808,"acch",26,"gaspar"
-81.2065,13.23114,"acch",2,"gaspar"
-81.2294,13.23217,"acch",1,"gaspar"
-81.23199,13.24438,"acch",1,"gaspar"
-81.18568,13.26543,"acch",1,"gaspar"
-81.23426,13.26544,"acch",1,"gaspar"
-81.20037,13.26772,"acch",4,"gaspar"
-81.20539,13.26835,"acch",1,"gaspar"
-81.19483,13.27194,"acch",2,"gaspar"
-81.20786,13.2882,"acch",1,"gaspar"
-81.20376,13.30417,"acch",1,"gaspar"
-81.17619,13.30587,"acch",3,"gaspar"
-86.48333,15.95,"acch",1,"gaspar"
-88.26778,16.83611,"acch",3,"gaspar"
-88.23222,16.84694,"acch",3,"gaspar"
-88.21194,16.8825,"acch",3,"gaspar"
-87.82972,18.21083,"acch",6,"gaspar"
-87.83167,18.21917,"acch",3,"gaspar"
-87.83083,18.22861,"acch",3,"gaspar"
-87.833,18.2667,"acch",5,"gaspar"
-64.69918,18.30179,"acch",3,"gaspar"
-64.74589,18.30264,"acch",6,"gaspar"
-64.7058,18.30392,"acch",1,"gaspar"
-64.70678,18.30748,"acch",1,"gaspar"
-64.71478,18.30749,"acch",2,"gaspar"
-64.71418,18.3078,"acch",2,"gaspar"
-64.70017,18.30858,"acch",7,"gaspar"
-64.71651,18.30904,"acch",7,"gaspar"
-64.71888,18.30997,"acch",1,"gaspar"
-64.7685,18.3106,"acch",5,"gaspar"
-64.71689,18.31061,"acch",1,"gaspar"
-64.77668,18.31079,"acch",21,"gaspar"
-64.70135,18.31102,"acch",2,"gaspar"
-64.77919,18.31148,"acch",2,"gaspar"
-64.7229,18.31196,"acch",1,"gaspar"
-64.77899,18.31221,"acch",1,"gaspar"
-64.76813,18.31235,"acch",2,"gaspar"
-64.7231,18.3127,"acch",1,"gaspar"
-64.78582,18.31345,"acch",2,"gaspar"
-64.76942,18.31465,"acch",26,"gaspar"
-64.68594,18.31498,"acch",4,"gaspar"
-64.7705,18.3152,"acch",1,"gaspar"
-64.79225,18.31521,"acch",1,"gaspar"
-64.69726,18.31521,"acch",2,"gaspar"
-64.69962,18.31524,"acch",2,"gaspar"
-64.73745,18.31582,"acch",3,"gaspar"
-64.76121,18.31605,"acch",17,"gaspar"
-64.74308,18.31744,"acch",7,"gaspar"
-64.75256,18.31776,"acch",2,"gaspar"
-64.77403,18.31807,"acch",2,"gaspar"
-64.79288,18.31935,"acch",12,"gaspar"
-64.7441,18.3194,"acch",1,"gaspar"
-64.7442,18.3202,"acch",2,"gaspar"
-64.79278,18.32095,"acch",2,"gaspar"
-64.79516,18.3221,"acch",1,"gaspar"
-64.80023,18.32594,"acch",2,"gaspar"
-64.79657,18.32704,"acch",3,"gaspar"
-64.67303,18.32899,"acch",5,"gaspar"
-64.66895,18.3295,"acch",2,"gaspar"
-64.6762,18.3302,"acch",1,"gaspar"
-64.6745,18.3307,"acch",1,"gaspar"
-64.67879,18.33121,"acch",5,"gaspar"
-64.8098,18.3317,"acch",4,"gaspar"
-64.80812,18.33205,"acch",1,"gaspar"
-64.66126,18.33419,"acch",4,"gaspar"
-64.6997,18.33553,"acch",13,"gaspar"
-64.68184,18.3364,"acch",16,"gaspar"
-64.69297,18.33645,"acch",29,"gaspar"
-64.6892,18.337,"acch",8,"gaspar"
-64.79741,18.34383,"acch",41,"gaspar"
-64.70025,18.34561,"acch",1,"gaspar"
-64.66308,18.3458,"acch",1,"gaspar"
-64.79279,18.34721,"acch",5,"gaspar"
-64.78234,18.34752,"acch",2,"gaspar"
-64.78152,18.34802,"acch",9,"gaspar"
-64.66849,18.34894,"acch",3,"gaspar"
-64.78789,18.34909,"acch",14,"gaspar"
-64.66055,18.34988,"acch",9,"gaspar"
-64.7991,18.3499,"acch",1,"gaspar"
-64.78503,18.3499,"acch",3,"gaspar"
-64.67122,18.35047,"acch",6,"gaspar"
-64.7001,18.3509,"acch",1,"gaspar"
-64.67107,18.35225,"acch",1,"gaspar"
-64.79556,18.35415,"acch",3,"gaspar"
-64.7915,18.3543,"acch",1,"gaspar"
-64.80042,18.35505,"acch",1,"gaspar"
-64.68539,18.35519,"acch",1,"gaspar"
-64.7961,18.35567,"acch",2,"gaspar"
-64.7937,18.356,"acch",1,"gaspar"
-64.7748,18.3578,"acch",2,"gaspar"
-64.76763,18.35817,"acch",1,"gaspar"
-64.77177,18.35841,"acch",1,"gaspar"
-64.77896,18.35846,"acch",1,"gaspar"
-64.77863,18.3589,"acch",2,"gaspar"
-64.78117,18.35934,"acch",4,"gaspar"
-64.7713,18.3601,"acch",4,"gaspar"
-64.76641,18.3604,"acch",1,"gaspar"
-64.77456,18.36059,"acch",1,"gaspar"
-64.7771,18.3612,"acch",2,"gaspar"
-64.7614,18.36129,"acch",2,"gaspar"
-64.7619,18.3624,"acch",2,"gaspar"
-64.74483,18.36263,"acch",3,"gaspar"
-64.70608,18.36433,"acch",1,"gaspar"
-64.734,18.3663,"acch",2,"gaspar"
-64.73384,18.36697,"acch",1,"gaspar"
-64.75981,18.36871,"acch",5,"gaspar"
-64.75281,18.37122,"acch",1,"gaspar"
-64.7363,18.372,"acch",1,"gaspar"
-64.73859,18.37216,"acch",4,"gaspar"
-64.74392,18.37356,"acch",1,"gaspar"
-87.75391,18.49862,"acch",4,"gaspar"
-87.75201,18.49862,"acch",6,"gaspar"
-87.75413,18.50683,"acch",8,"gaspar"
-87.75268,18.50721,"acch",4,"gaspar"
-87.74973,18.51528,"acch",7,"gaspar"
-87.74777,18.51529,"acch",8,"gaspar"
-87.71691,18.65767,"acch",5,"gaspar"
-87.71944,18.66201,"acch",12,"gaspar"
-87.7167,18.66677,"acch",2,"gaspar"
-87.72232,18.66917,"acch",6,"gaspar"
-87.71826,18.67241,"acch",5,"gaspar"
-87.71367,18.67373,"acch",3,"gaspar"
-87.72092,18.67402,"acch",4,"gaspar"
-87.71662,18.67918,"acch",3,"gaspar"
-87.71301,18.68359,"acch",9,"gaspar"
-87.70889,18.69237,"acch",9,"gaspar"
-87.71176,18.69546,"acch",35,"gaspar"
-87.70278,18.71028,"acch",3,"gaspar"
-87.70444,18.71139,"acch",1,"gaspar"
-87.70194,18.7125,"acch",3,"gaspar"
-87.70458,18.71345,"acch",2,"gaspar"
-87.70627,18.71423,"acch",1,"gaspar"
-87.70055,18.715,"acch",1,"gaspar"
-87.70222,18.71528,"acch",2,"gaspar"
-87.70376,18.71725,"acch",2,"gaspar"
-87.70455,18.71749,"acch",1,"gaspar"
-87.62361,18.90333,"acch",3,"gaspar"
-87.53694,19.1375,"acch",50,"gaspar"
-87.53611,19.14583,"acch",42,"gaspar"
-87.53334,19.15416,"acch",26,"gaspar"
-87.45,19.2833,"acch",2,"gaspar"
-87.42981,19.48697,"acch",2,"gaspar"
-87.42294,19.48699,"acch",6,"gaspar"
-87.40555,19.57867,"acch",1,"gaspar"
-87.39986,19.57867,"acch",8,"gaspar"
-87.39607,19.57868,"acch",3,"gaspar"
-87.405,19.69845,"acch",1,"gaspar"
-87.46556,19.7675,"acch",3,"gaspar"
-87.46014,19.96922,"acch",33,"gaspar"
-87.45833,19.98639,"acch",6,"gaspar"
-87.46336,20.03135,"acch",5,"gaspar"
-87.47422,20.04158,"acch",3,"gaspar"
-87.46557,20.04399,"acch",4,"gaspar"
-87.46596,20.05647,"acch",3,"gaspar"
-87.46601,20.05699,"acch",5,"gaspar"
-87.47185,20.06849,"acch",2,"gaspar"
-87.02894,20.35815,"acch",1,"gaspar"
-87.0286,20.3772,"acch",1,"gaspar"
-87.0284,20.37833,"acch",7,"gaspar"
-87.0267,20.39622,"acch",10,"gaspar"
-87.01624,20.42251,"acch",1,"gaspar"
-87.00302,20.43923,"acch",1,"gaspar"
-86.98365,20.46868,"acch",3,"gaspar"
-86.98365,20.4687,"acch",5,"gaspar"
-87.10977,20.5812,"acch",4,"gaspar"
-87.01667,20.61667,"acch",15,"gaspar"
-87.04858,20.64032,"acch",3,"gaspar"
-84.3079,20.64032,"acch",5,"gaspar"
-86.9667,20.7333,"acch",3,"gaspar"
-86.86667,20.86028,"acch",3,"gaspar"
-86.8,21.0333,"acch",2,"gaspar"
-80.41444,24.9875,"acch",3,"gaspar"
-80.37083,25.01389,"acch",5,"gaspar"
-82.11,9.23,"acch",1,"rls"
-82.12,9.27,"acch",1,"rls"
-82.1,9.28,"acch",1,"rls"
-82.35,9.29,"acch",2,"rls"
-82.34,9.29,"acch",9,"rls"
-82.29,9.3,"acch",1,"rls"
-82.23,9.34,"acch",1,"rls"
-82.27,9.36,"acch",1,"rls"
-78.95,9.56,"acch",1,"rls"
-78.89,9.59,"acch",3,"rls"
-68.25,12.03,"acch",1,"rls"
-68.28,12.06,"acch",1,"rls"
-68.31,12.2,"acch",1,"rls"
-68.33,12.21,"acch",1,"rls"
-81.69,12.58,"acch",3,"rls"
-81.68,12.58,"acch",2,"rls"
-81.69,12.59,"acch",1,"rls"
-81.41,13.33,"acch",1,"rls"
-81.4,13.36,"acch",2,"rls"
-81.4,13.37,"acch",3,"rls"
-81.34,13.37,"acch",1,"rls"
-81.34,13.38,"acch",2,"rls"
-81.4,13.4,"acch",1,"rls"
-81.36,13.46,"acch",3,"rls"
-80.22,14.35,"acch",1,"rls"
-88.1,16.75,"acch",1,"rls"
-88.1,16.78,"acch",2,"rls"
-88.08,16.78,"acch",5,"rls"
-88.08,16.8,"acch",3,"rls"
-88.09,16.81,"acch",3,"rls"
-88.08,16.81,"acch",1,"rls"
-88.07,16.87,"acch",1,"rls"
-81.39,19.31,"acch",2,"rls"
-81.41,24.55,"acch",1,"rls"
-82.87,24.61,"acch",1,"rls"
-82.94,24.62,"acch",1,"rls"
-81.11,24.63,"acch",3,"rls"
-80.97,24.68,"acch",1,"rls"
-81.06,24.69,"acch",4,"rls"
-81.03,24.69,"acch",14,"rls"
-80.96,24.69,"acch",3,"rls"
-81.05,24.71,"acch",1,"rls"
-80.11,26.05,"acch",4,"rls"
-80.1,26.08,"acch",2,"rls"
-80.1,26.14,"acch",2,"rls"
-80.09,26.16,"acch",6,"rls"
-80.07,26.25,"acch",6,"rls"
