"scientificName","decimalLongitude","decimalLatitude"
"acch",-77.3268611,8.6167222
"acch",-81.33430556,13.36819444
"acch",-74.05391667,11.33708333
"acch",-77.5370330811,24.0979309082
"acch",-81.4257965088,21.9022674561
"acch",-80.088684082,19.6570167542
"acch",-64.6638031006,17.7697696686
"acch",-81.6956166,12.5551833
"acch",-77.6965026855,24.4833297729
"acch",-77.3586666,8.6704166
"acch",-77.3566666,8.6721666
"acch",-75.7888611,10.1708889
"acch",-68.4274978638,12.2583332062
"acch",-80.088684082,19.6570167542
"acch",-64.6130371094,17.7891292572
"acch",-87.9350128174,17.3858833313
"acch",-87.9080352783,17.1550502777
"acch",-75.7464444,10.2341944
"acch",-74.1283611,11.3256111
"acch",-74.1286111,11.3298611
"acch",-81.33430556,13.36819444
"acch",-77.6910018921,24.6259994507
"acch",-71.96114444,12.18377778
"acch",-77.4970016479,34.3429985046
"acch",-64.8256988525,18.2472000122
"acch",-44.558,-23.221
"acch",-64.5672607422,17.777879715
"acch",-64.6961898804,18.2815704346
"acch",-64.6929626465,18.3364486694
"acch",-64.6444015503,17.7870502472
"acch",-77.33625,8.6420555
"acch",-77.4510803223,18.4792175293
"acch",-82.3381652832,21.5517673492
"acch",-81.352517,13.375383
"acch",-74.2318611,11.2490277
"acch",-77.1014328003,18.4148674011
"acch",-87.9389801025,17.3858337402
"acch",-64.5720214844,17.7970790863
"acch",-75.7706389,10.1748611
"acch",-64.7770996094,18.3612003326
"acch",-75.587944,10.302003
"acch",-74.1169444,11.3313611
"acch",-75.7853889,9.7774167
"acch",-74.1283611,11.3256111
"acch",-76.3745346069,18.1723995209
"acch",-81.34165,13.36515
"acch",-75.8908333,9.8219444
"acch",-81.3969667,13.3672333
"acch",-77.3587222,8.6621388
"acch",-79.1452789307,22.6533336639
"acch",-76.3745346069,18.1723995209
"acch",-78.9443664551,9.55364990234
"acch",-88.0741348267,16.723449707
"acch",-81.3970184326,21.8850841522
"acch",-64.7677307129,18.3146896362
"acch",-77.6419448853,18.5125007629
"acch",-74.1283611,11.3256111
"acch",-75.7464444,10.2341944
"acch",-78.6542358398,9.52455043793
"acch",-74.1286111,11.3298611
"acch",-81.6370697021,21.5691833496
"acch",-64.576751709,17.7885398865
"acch",-66.8952331543,11.8811330795
"acch",-75.73317,10.23526
"acch",-80.5886077881,23.2366657257
"acch",-74.1283611,11.3256111
"acch",-77.6989974976,24.4839992523
"acch",-81.34165,13.36515
"acch",-77.6291732788,24.2531509399
"acch",-64.5960998535,17.7110099792
"acch",-66.7438201904,11.9300832748
"acch",-74.1283611,11.3256111
"acch",-74.1283611,11.3256111
"acch",-87.8851852417,16.7265834808
"acch",-38.703611,-18.003889
"acch",-81.33430556,13.36819444
"acch",-74.05391667,11.33708333
"acch",-44.506,-23.291
"acch",-80.1491470337,25.4849834442
"acch",-75.7464444,10.2341944
"acch",-87.4516677856,19.9666671753
"acch",-64.6157531738,17.790599823
"acch",-64.587310791,17.7374801636
"acch",-39.031944,-17.46
"acch",-81.348167,13.366
"acch",-38.7018318176,-17.9599990845
"acch",-66.9900588989,17.9625091553
"acch",-64.7230987549,18.312702179
"acch",-81.7312333,12.5131333
"acch",-81.4257965088,21.9022674561
"acch",-81.69695,12.5489166
"acch",-77.3586666,8.6704166
"acch",-75.8658333,9.7058333
"acch",-64.6586227417,17.7744102478
"acch",-74.2318611,11.2490277
"acch",-64.6675186157,17.7742099762
"acch",-71.96114444,12.18377778
"acch",-81.34165,13.36515
"acch",-79.0299301147,9.50428295135
"acch",-81.352517,13.375383
"acch",-75.7888611,10.1708889
"acch",-75.7888611,10.1708889
"acch",-81.3458023071,24.5611991882
"acch",-74.1283611,11.3256111
"acch",-75.7706389,10.1748611
"acch",-64.692527771,18.3414402008
"acch",-81.6851,12.5831666
"acch",-60.5527777778,11.3188888889
"acch",-77.3586666,8.6704166
"acch",-81.6862833,12.5847166
"acch",-75.7706389,10.1748611
"acch",-74.1286111,11.3298611
"acch",-64.6100463867,17.7866401672
"acch",-75.586661,10.300586
"acch",-82.7827529907,21.451133728
"acch",-77.6961669922,24.439250946
"acch",-64.6879730225,18.2826004028
"acch",-64.70677948,18.3074817657
"acch",-64.6647262573,17.7755908966
"acch",-64.6184692383,17.7890892029
"acch",-75.9233889,9.7905833
"acch",-75.7855556,9.7794444
"acch",-87.8333282471,18.2333335876
"acch",-67.1037826538,17.9166107178
"acch",-75.7464444,10.2341944
"acch",-44.541,-23.268
"acch",-82.7689819336,21.4549999237
"acch",-75.8908333,9.8219444
"acch",-63.232334137,17.4878330231
"acch",-66.5804519653,11.7785167694
"acch",-65.3193969727,18.1571331024
"acch",-64.6156463623,17.7924499512
"acch",-74.08557383,11.320529
"acch",-81.4051513672,24.5460739136
"acch",-65.5704193115,18.3546657562
"acch",-64.6266403198,17.7908592224
"acch",-64.6190338135,17.7635402679
"acch",-81.34165,13.36515
"acch",-38.6923332214,-17.96733284
"acch",-46.7000007629,0.899999976158
"acch",-75.7888611,10.1708889
"acch",-81.8751831055,24.4528675079
"acch",-75.8661389,9.7055278
"acch",-64.6369476318,17.7699298859
"acch",-64.684928894,18.2844772339
"acch",-39.050833,-17.605278
"acch",-76.3745346069,18.1723995209
"acch",-87.9389801025,17.3858337402
"acch",-87.7055587769,18.7083339691
"acch",-81.3906333,13.3887667
"acch",-74.1169444,11.3313611
"acch",-64.576751709,17.7885398865
"acch",-87.9536972046,17.355266571
"acch",-81.6999969482,12.5100002289
"acch",-64.6096801758,17.7871398926
"acch",-77.3581314087,18.4630508423
"acch",-77.6961669922,24.439250946
"acch",-64.7640838623,18.3141670227
"acch",-79.9820175171,19.7166004181
"acch",-64.6417236328,17.7603092194
"acch",-64.5861434937,17.7777805328
"acch",-75.73317,10.23526
"acch",-76.9461669922,26.5403327942
"acch",-82.9878005981,12.3091201782
"acch",-77.6706771851,24.3431491852
"acch",-64.6942062378,18.3519592285
"acch",-81.352517,13.375383
"acch",-74.1283611,11.3256111
"acch",-75.7855556,9.7794444
"acch",-74.1286111,11.3298611
"acch",-81.348167,13.366
"acch",-81.33430556,13.36819444
"acch",-64.6239089966,17.7836513519
"acch",-75.7888611,10.1708889
"acch",-88.0741348267,16.723449707
"acch",-87.3339691162,18.7535324097
"acch",-80.4769668579,24.9398841858
"acch",-74.1283611,11.3256111
"acch",-81.348167,13.366
"acch",-80.4135971069,25.0132827759
"acch",-87.4516677856,19.9666671753
"acch",-81.6956166,12.5551833
"acch",-74.2318611,11.2490277
"acch",-74.2318611,11.2490277
"acch",-81.3752778,13.3136389
"acch",-77.6706771851,24.3431491852
"acch",-64.583152771,17.7839126587
"acch",-64.5651321411,17.7614192963
"acch",-88.0780029297,16.8129997253
"acch",-38.600833,-17.715278
"acch",-64.6341781616,17.7924098969
"acch",-81.5146026611,22.0360507965
"acch",-81.352517,13.375383
"acch",-77.3566666,8.6721666
"acch",-64.7736968994,18.2735500336
"acch",-66.8952331543,11.7923336029
"acch",-75.74616,10.15284
"acch",-38.703666687,-17.9653339386
"acch",-64.7385864258,18.3721599579
"acch",-74.1286111,11.3298611
"acch",-75.9233889,9.7905833
"acch",-81.33430556,13.36819444
"acch",-60.5516662598,11.3188886642
"acch",-38.703666687,-17.9653339386
"acch",-81.9271697998,21.5957832336
"acch",-81.34165,13.36515
"acch",-87.8018798828,16.9100837708
"acch",-64.6039810181,17.7891197205
"acch",-81.69695,12.5489166
"acch",-81.33430556,13.36819444
"acch",-75.74522222,10.18619444
"acch",-75.7853889,9.7774167
"acch",-60.9666666667,14.0638888889
"acch",-81.34165,13.36515
"acch",-79.7304000854,19.7543506622
"acch",-75.9233889,9.7905833
"acch",-81.4668502808,21.960483551
"acch",-87.7408981323,17.5707836151
"acch",-74.1283611,11.3256111
"acch",-74.1169444,11.3313611
"acch",-81.69695,12.5489166
"acch",-81.69695,12.5489166
"acch",-74.1169444,11.3313611
"acch",-83.0599975586,10.0100002289
"acch",-64.7231063843,18.270860672
"acch",-64.8088302612,17.7705001831
"acch",-74.1283611,11.3256111
"acch",-64.6469726562,17.7620391846
"acch",-76.6897964478,18.2696342468
"acch",-78.6803970337,20.6442337036
"acch",-74.1283611,11.3256111
"acch",-81.34165,13.36515
"acch",-77.4510803223,18.4792175293
"acch",-82.702796936,21.4773330688
"acch",-65.3149642944,18.3380832672
"acch",-64.7811737061,18.3593406677
"acch",-64.6166534424,17.783039093
"acch",-81.34165,13.36515
"acch",-64.7895889282,18.3198394775
"acch",-76.2873687744,18.0738334656
"acch",-76.3307647705,18.1333503723
"acch",-74.1286111,11.3298611
"acch",-75.7706389,10.1748611
"acch",-64.5992202759,17.759519577
"acch",-64.6145401001,17.7821407318
"acch",-79.1452789307,22.6533336639
"acch",-75.7464444,10.2341944
"acch",-77.3581314087,18.4630508423
"acch",-68.4274978638,12.2583332062
"acch",-81.4143944,13.3655167
"acch",-74.1283611,11.3256111
"acch",-81.352517,13.375383
"acch",-77.3566666,8.6721666
"acch",-44.191,-23.102
"acch",-77.3566666,8.6721666
"acch",-87.9739303589,16.5263824463
"acch",-74.1286111,11.3298611
"acch",-64.6987075806,18.279460907
"acch",-74.1283611,11.3256111
"acch",-81.6800003052,12.6000003815
"acch",-64.7748031616,18.35779953
"acch",-88.0722503662,16.7226333618
"acch",-38.6996650696,-17.9613342285
"acch",-87.9739303589,16.5263824463
"acch",-63.232334137,17.4878330231
"acch",-74.08557383,11.320529
"acch",-75.74522222,10.18619444
"acch",-88.0722503662,16.7226333618
"acch",-74.1286111,11.3298611
"acch",-81.34165,13.36515
"acch",-39.091389,-16.895833
"acch",-74.08557383,11.320529
"acch",-84.4898300171,21.8343162537
"acch",-74.3701167,11.1063
"acch",-75.89675,9.697306
