"decimalLongitude","decimalLatitude","scientificName","abundance","dataset"
-48.432,-27.8455,"boru",3,"gaspar"
-48.38758,-27.60351,"boru",5,"gaspar"
-48.36104,-27.29822,"boru",3,"gaspar"
-48.36701,-27.29061,"boru",8,"gaspar"
-48.36381,-27.29061,"boru",3,"gaspar"
-48.37246,-27.27833,"boru",3,"gaspar"
-48.36848,-27.27704,"boru",3,"gaspar"
-48.33167,-27.26447,"boru",3,"gaspar"
-48.3991,-27.17457,"boru",3,"gaspar"
-46.17621,-24.31684,"boru",3,"gaspar"
-45.702491,-24.105182,"boru",5,"gaspar"
-45.698116,-24.100227,"boru",13,"gaspar"
-45.688487,-24.097748,"boru",8,"gaspar"
-45.693289,-24.095842,"boru",15,"gaspar"
-45.28362,-23.93538,"boru",5,"gaspar"
-45.24399,-23.8933,"boru",5,"gaspar"
-45.15812,-23.80578,"boru",5,"gaspar"
-44.18213,-23.19038,"boru",5,"gaspar"
-44.09902,-23.16378,"boru",3,"gaspar"
-44.36253,-23.0711,"boru",3,"gaspar"
-42.00686,-23.01011,"boru",3,"gaspar"
-42.01305,-22.99786,"boru",3,"gaspar"
-41.99878,-22.99111,"boru",3,"gaspar"
-41.99264,-22.98628,"boru",3,"gaspar"
-41.98448,-22.98048,"boru",3,"gaspar"
-41.97975,-22.9782,"boru",5,"gaspar"
-42.00413,-22.96988,"boru",3,"gaspar"
-41.99416,-22.96839,"boru",3,"gaspar"
-41.99372,-22.96573,"boru",3,"gaspar"
-42.00166,-22.96514,"boru",3,"gaspar"
-40.40759,-20.69963,"boru",3,"gaspar"
-40.36616,-20.67661,"boru",13,"gaspar"
-40.37878,-20.61235,"boru",3,"gaspar"
-29.30109,-20.52777,"boru",3,"gaspar"
-29.30458,-20.52759,"boru",3,"gaspar"
-29.32063,-20.52482,"boru",3,"gaspar"
-29.33199,-20.52273,"boru",3,"gaspar"
-29.29819,-20.51772,"boru",3,"gaspar"
-29.30096,-20.51711,"boru",3,"gaspar"
-29.34061,-20.51461,"boru",3,"gaspar"
-29.31029,-20.50746,"boru",5,"gaspar"
-29.31739,-20.50491,"boru",3,"gaspar"
-29.34434,-20.5028,"boru",3,"gaspar"
-29.34572,-20.50245,"boru",3,"gaspar"
-29.3449,-20.5001,"boru",3,"gaspar"
-29.321,-20.499,"boru",3,"gaspar"
-29.3431,-20.49248,"boru",3,"gaspar"
-29.32957,-20.49204,"boru",3,"gaspar"
-29.33862,-20.48861,"boru",3,"gaspar"
-29.33302,-20.48823,"boru",5,"gaspar"
-28.85682,-20.47406,"boru",3,"gaspar"
-40.27839,-20.36322,"boru",5,"gaspar"
-38.64133,-13.12917,"boru",79,"gaspar"
-38.53083,-13.00833,"boru",5,"gaspar"
-38.51111,-12.9386,"boru",3,"gaspar"
-38.529,-12.87,"boru",3,"gaspar"
-35.19149,-9.024256,"boru",3,"gaspar"
-35.03442,-6.000694,"boru",3,"gaspar"
-35.03928,-5.956183,"boru",5,"gaspar"
-35.03718,-5.950039,"boru",3,"gaspar"
-35.04745,-5.9268,"boru",5,"gaspar"
-35.07142,-5.591367,"boru",3,"gaspar"
-35.09007,-5.564467,"boru",18,"gaspar"
-35.0725,-5.56435,"boru",18,"gaspar"
-38.37183,-3.598983,"boru",3,"gaspar"
-38.39165,-3.598067,"boru",5,"gaspar"
-38.38077,-3.5736,"boru",5,"gaspar"
-38.40838,-3.5683,"boru",5,"gaspar"
-44.27903,-0.8703,"boru",5,"gaspar"
-44.264283,-0.869867,"boru",3,"gaspar"
-82.93333,8.5,"boru",4,"gaspar"
-82.22284,9.365996,"boru",5,"gaspar"
-68.8,12.04,"boru",3,"gaspar"
-68.89,12.08,"boru",3,"gaspar"
-68.95,12.11,"boru",3,"gaspar"
-69,12.14,"boru",3,"gaspar"
-69.09,12.22,"boru",3,"gaspar"
-69.16,12.38,"boru",3,"gaspar"
-81.717,12.4912,"boru",1,"gaspar"
-81.745,12.4953,"boru",1,"gaspar"
-81.736,12.527,"boru",5,"gaspar"
-81.738,12.5276,"boru",2,"gaspar"
-81.6969,12.5306,"boru",2,"gaspar"
-81.7365,12.5441,"boru",2,"gaspar"
-81.697,12.549,"boru",2,"gaspar"
-81.7355,12.5491,"boru",1,"gaspar"
-81.6737,12.5531,"boru",1,"gaspar"
-81.73,12.5736,"boru",1,"gaspar"
-81.6895,12.585,"boru",3,"gaspar"
-81.6837,12.5859,"boru",3,"gaspar"
-81.6756,12.5951,"boru",2,"gaspar"
-81.21255,13.18774,"boru",1,"gaspar"
-81.22526,13.18906,"boru",3,"gaspar"
-81.24985,13.21428,"boru",1,"gaspar"
-81.24271,13.21842,"boru",2,"gaspar"
-81.20398,13.22808,"boru",1,"gaspar"
-81.2065,13.23114,"boru",1,"gaspar"
-81.2294,13.23217,"boru",1,"gaspar"
-81.23966,13.23903,"boru",1,"gaspar"
-81.23199,13.24438,"boru",1,"gaspar"
-81.18568,13.26543,"boru",2,"gaspar"
-81.20037,13.26772,"boru",1,"gaspar"
-81.19483,13.27194,"boru",1,"gaspar"
-81.17619,13.30587,"boru",1,"gaspar"
-86.48333,15.95,"boru",1,"gaspar"
-86.5004,15.9945,"boru",1,"gaspar"
-88.23222,16.84694,"boru",3,"gaspar"
-88.21194,16.8825,"boru",3,"gaspar"
-87.70889,18,"boru",6,"gaspar"
-87,18,"boru",2,"gaspar"
-87.82972,18.21083,"boru",2,"gaspar"
-87.83167,18.21917,"boru",4,"gaspar"
-87.83083,18.22861,"boru",3,"gaspar"
-87.833,18.2667,"boru",1,"gaspar"
-64.75054,18.29939,"boru",1,"gaspar"
-64.70362,18.29941,"boru",1,"gaspar"
-64.69918,18.30179,"boru",1,"gaspar"
-64.7058,18.30392,"boru",3,"gaspar"
-64.74655,18.30416,"boru",1,"gaspar"
-64.68923,18.30485,"boru",1,"gaspar"
-64.69182,18.30716,"boru",1,"gaspar"
-64.74102,18.30817,"boru",1,"gaspar"
-64.72294,18.3088,"boru",1,"gaspar"
-64.76534,18.31079,"boru",1,"gaspar"
-64.70135,18.31102,"boru",1,"gaspar"
-64.7008,18.3111,"boru",1,"gaspar"
-64.77899,18.31221,"boru",1,"gaspar"
-64.76813,18.31235,"boru",1,"gaspar"
-64.72117,18.31419,"boru",1,"gaspar"
-64.76906,18.3143,"boru",1,"gaspar"
-64.7343,18.31438,"boru",1,"gaspar"
-64.79225,18.31521,"boru",2,"gaspar"
-64.74275,18.31573,"boru",1,"gaspar"
-64.75366,18.31755,"boru",1,"gaspar"
-64.79456,18.31973,"boru",2,"gaspar"
-64.6963,18.3233,"boru",1,"gaspar"
-64.79877,18.32459,"boru",3,"gaspar"
-64.80023,18.32594,"boru",1,"gaspar"
-64.67822,18.32608,"boru",1,"gaspar"
-64.66222,18.33637,"boru",1,"gaspar"
-64.79408,18.34412,"boru",1,"gaspar"
-64.66308,18.3458,"boru",1,"gaspar"
-64.68472,18.35394,"boru",1,"gaspar"
-64.7961,18.35567,"boru",2,"gaspar"
-64.78365,18.35944,"boru",1,"gaspar"
-87.75391,18.49862,"boru",2,"gaspar"
-87.75413,18.50683,"boru",2,"gaspar"
-87.74973,18.51528,"boru",2,"gaspar"
-87.74777,18.51529,"boru",4,"gaspar"
-87.7503,18.51545,"boru",1,"gaspar"
-87.71691,18.65767,"boru",3,"gaspar"
-87.71944,18.66201,"boru",4,"gaspar"
-87.7167,18.66677,"boru",2,"gaspar"
-87.71826,18.67241,"boru",1,"gaspar"
-87.71367,18.67373,"boru",1,"gaspar"
-87.71301,18.68359,"boru",1,"gaspar"
-87.70889,18.69237,"boru",1,"gaspar"
-87.70771,18.70611,"boru",1,"gaspar"
-87.70278,18.71028,"boru",1,"gaspar"
-87.70444,18.71139,"boru",1,"gaspar"
-87.70194,18.7125,"boru",1,"gaspar"
-87.70458,18.71345,"boru",3,"gaspar"
-87.70055,18.715,"boru",2,"gaspar"
-87.70222,18.71528,"boru",1,"gaspar"
-87.70455,18.71749,"boru",1,"gaspar"
-87.62361,18.90333,"boru",5,"gaspar"
-87.53694,19.1375,"boru",41,"gaspar"
-87.53611,19.14583,"boru",43,"gaspar"
-87.53334,19.15416,"boru",32,"gaspar"
-87.45,19.2833,"boru",6,"gaspar"
-87.42564,19.48698,"boru",1,"gaspar"
-87.42294,19.48699,"boru",1,"gaspar"
-87.39986,19.57867,"boru",2,"gaspar"
-87.46556,19.7675,"boru",4,"gaspar"
-87.43546,19.79111,"boru",2,"gaspar"
-87.45094,19.96924,"boru",2,"gaspar"
-87.45833,19.98639,"boru",2,"gaspar"
