FID,Key,SurveyID,Country,Ecoregion,Realm,SiteCode,Site,SiteLat,SiteLong,SurveyDate,Depth,Phylum,Class,Family,Taxon,Block,Total,Diver,geom
M1_DATA.10046,10046,912349127,Spain,Alboran Sea,Temperate Northern Atlantic,AND1,Estepona,36.41,-5.17,2013-10-28T00:00:00,2.3,Chordata,Actinopterygii,Sparidae,Boops boops,2,22,JASF,POINT (-5.17 36.41)
M1_DATA.10047,10047,912349127,Spain,Alboran Sea,Temperate Northern Atlantic,AND1,Estepona,36.41,-5.17,2013-10-28T00:00:00,2.3,Chordata,Actinopterygii,Labridae,Coris julis,2,22,JASF,POINT (-5.17 36.41)
M1_DATA.10048,10048,912349127,Spain,Alboran Sea,Temperate Northern Atlantic,AND1,Estepona,36.41,-5.17,2013-10-28T00:00:00,2.3,Chordata,Actinopterygii,Sparidae,Diplodus annularis,2,5,JASF,POINT (-5.17 36.41)
M1_DATA.10049,10049,912349127,Spain,Alboran Sea,Temperate Northern Atlantic,AND1,Estepona,36.41,-5.17,2013-10-28T00:00:00,2.3,Chordata,Actinopterygii,Sparidae,Diplodus puntazzo,1,1,JASF,POINT (-5.17 36.41)
M1_DATA.10050,10050,912349127,Spain,Alboran Sea,Temperate Northern Atlantic,AND1,Estepona,36.41,-5.17,2013-10-28T00:00:00,2.3,Chordata,Actinopterygii,Mullidae,Mullus surmuletus,2,2,JASF,POINT (-5.17 36.41)
M1_DATA.10051,10051,912349127,Spain,Alboran Sea,Temperate Northern Atlantic,AND1,Estepona,36.41,-5.17,2013-10-28T00:00:00,2.3,Chordata,Actinopterygii,Labridae,Thalassoma pavo,1,2,JASF,POINT (-5.17 36.41)
M1_DATA.10052,10052,912344583,Spain,Alboran Sea,Temperate Northern Atlantic,AND11,Cala del Peñon,36.82,-2.54,2014-07-02T00:00:00,5.1,Chordata,Actinopterygii,Labridae,Coris julis,1,2,JASF,POINT (-2.54 36.82)
M1_DATA.10053,10053,912344583,Spain,Alboran Sea,Temperate Northern Atlantic,AND11,Cala del Peñon,36.82,-2.54,2014-07-02T00:00:00,5.1,Chordata,Actinopterygii,Sparidae,Diplodus sargus,2,2,JASF,POINT (-2.54 36.82)
M1_DATA.10054,10054,912344583,Spain,Alboran Sea,Temperate Northern Atlantic,AND11,Cala del Peñon,36.82,-2.54,2014-07-02T00:00:00,5.1,Chordata,Actinopterygii,Serranidae,Epinephelus costae,2,1,JASF,POINT (-2.54 36.82)
M1_DATA.10055,10055,912344583,Spain,Alboran Sea,Temperate Northern Atlantic,AND11,Cala del Peñon,36.82,-2.54,2014-07-02T00:00:00,5.1,Chordata,Actinopterygii,Serranidae,Serranus scriba,1,4,JASF,POINT (-2.54 36.82)
M1_DATA.10056,10056,912344584,Spain,Alboran Sea,Temperate Northern Atlantic,AND12,El díez,36.82,-2.55,2014-07-02T00:00:00,6.4,Chordata,Actinopterygii,Pomacentridae,Chromis chromis,2,150,JASF,POINT (-2.55 36.82)
M1_DATA.10057,10057,912344584,Spain,Alboran Sea,Temperate Northern Atlantic,AND12,El díez,36.82,-2.55,2014-07-02T00:00:00,6.4,Chordata,Actinopterygii,Sparidae,Diplodus puntazzo,2,1,JASF,POINT (-2.55 36.82)
M1_DATA.10068,10068,912344596,Spain,Alboran Sea,Temperate Northern Atlantic,AND24,Las Negras,36.88,-2,2014-07-09T00:00:00,2.2,Chordata,Actinopterygii,Sparidae,Diplodus vulgaris,1,14,JASF,POINT (-2 36.88)
M1_DATA.10069,10069,912344596,Spain,Alboran Sea,Temperate Northern Atlantic,AND24,Las Negras,36.88,-2,2014-07-09T00:00:00,2.2,Chordata,Actinopterygii,Sparidae,Lithognathus mormyrus,1,11,JASF,POINT (-2 36.88)
