"decimalLongitude","decimalLatitude","scientificName","abundance","dataset"
-33.80355,-3.875172,"hara",5,"gaspar"
-33.80944,-3.874725,"hara",8,"gaspar"
-33.80944,-3.872986,"hara",3,"gaspar"
-33.81225,-3.872956,"hara",4,"gaspar"
-33.79191,-3.86895,"hara",8,"gaspar"
-32.42278,-3.86684,"hara",15,"gaspar"
-33.81777,-3.866636,"hara",4,"gaspar"
-33.79379,-3.862211,"hara",7,"gaspar"
-33.81884,-3.860347,"hara",5,"gaspar"
-33.81805,-3.859675,"hara",8,"gaspar"
-33.82062,-3.857917,"hara",18,"gaspar"
-32.44599,-3.854376,"hara",3,"gaspar"
-32.44057,-3.846539,"hara",3,"gaspar"
-32.41496,-3.83904,"hara",5,"gaspar"
-32.40364,-3.836316,"hara",3,"gaspar"
-32.39484,-3.834419,"hara",18,"gaspar"
-32.39059,-3.817208,"hara",10,"gaspar"
-32.39017,-3.814548,"hara",3,"gaspar"
-33.87252,-3.798292,"hara",5,"gaspar"
-29.34517,0.9163356,"hara",15,"gaspar"
-29.34303,0.918769,"hara",10,"gaspar"
-82.93333,8.5,"hara",4,"gaspar"
-82.22284,9.365996,"hara",5,"gaspar"
-68.89,12.08,"hara",3,"gaspar"
-69,12.14,"hara",4,"gaspar"
-69.1,12.24,"hara",4,"gaspar"
-81.736,12.527,"hara",1,"gaspar"
-81.7355,12.5491,"hara",1,"gaspar"
-81.6737,12.5531,"hara",2,"gaspar"
-81.693,12.5652,"hara",1,"gaspar"
-81.6895,12.585,"hara",2,"gaspar"
-81.6837,12.5859,"hara",1,"gaspar"
-81.6756,12.5951,"hara",1,"gaspar"
-81.24043,13.17715,"hara",1,"gaspar"
-81.24271,13.21842,"hara",1,"gaspar"
-81.20398,13.22808,"hara",1,"gaspar"
-81.19483,13.27194,"hara",1,"gaspar"
-81.17619,13.30587,"hara",1,"gaspar"
-86.48333,15.95,"hara",1,"gaspar"
-86.5004,15.9945,"hara",1,"gaspar"
-88.26778,16.83611,"hara",3,"gaspar"
-88.25278,16.86444,"hara",3,"gaspar"
-88.21194,16.8825,"hara",3,"gaspar"
-87.82972,18.21083,"hara",3,"gaspar"
-87.83167,18.21917,"hara",2,"gaspar"
-87.83083,18.22861,"hara",2,"gaspar"
-87.833,18.2667,"hara",1,"gaspar"
-64.70362,18.29941,"hara",2,"gaspar"
-64.7058,18.30392,"hara",2,"gaspar"
-64.70678,18.30748,"hara",3,"gaspar"
-64.71478,18.30749,"hara",1,"gaspar"
-64.71329,18.30874,"hara",1,"gaspar"
-64.77668,18.31079,"hara",1,"gaspar"
-64.76534,18.31079,"hara",6,"gaspar"
-64.7021,18.3108,"hara",4,"gaspar"
-64.70135,18.31102,"hara",3,"gaspar"
-64.77971,18.31158,"hara",2,"gaspar"
-64.7647,18.3116,"hara",1,"gaspar"
-64.70135,18.31223,"hara",4,"gaspar"
-64.76813,18.31235,"hara",4,"gaspar"
-64.72206,18.31286,"hara",2,"gaspar"
-64.77981,18.31323,"hara",1,"gaspar"
-64.78906,18.3138,"hara",1,"gaspar"
-64.6892,18.3144,"hara",1,"gaspar"
-64.76767,18.31463,"hara",1,"gaspar"
-64.7705,18.3152,"hara",1,"gaspar"
-64.79225,18.31521,"hara",3,"gaspar"
-64.76945,18.3153,"hara",1,"gaspar"
-64.7606,18.31532,"hara",1,"gaspar"
-64.77053,18.31593,"hara",1,"gaspar"
-64.76121,18.31605,"hara",5,"gaspar"
-64.69978,18.3161,"hara",8,"gaspar"
-64.68662,18.31659,"hara",1,"gaspar"
-64.73143,18.31694,"hara",3,"gaspar"
-64.6918,18.3173,"hara",2,"gaspar"
-64.75366,18.31755,"hara",1,"gaspar"
-64.69934,18.31763,"hara",3,"gaspar"
-64.75256,18.31776,"hara",3,"gaspar"
-64.7314,18.318,"hara",3,"gaspar"
-64.72769,18.31805,"hara",4,"gaspar"
-64.77403,18.31807,"hara",3,"gaspar"
-64.69774,18.31811,"hara",1,"gaspar"
-64.69664,18.31862,"hara",2,"gaspar"
-64.7441,18.3194,"hara",1,"gaspar"
-64.79456,18.31973,"hara",4,"gaspar"
-64.7442,18.3202,"hara",2,"gaspar"
-64.79278,18.32095,"hara",1,"gaspar"
-64.79516,18.3221,"hara",1,"gaspar"
-64.79657,18.32704,"hara",1,"gaspar"
-64.79909,18.32948,"hara",3,"gaspar"
-64.6745,18.3307,"hara",2,"gaspar"
-64.66808,18.33237,"hara",1,"gaspar"
-64.79931,18.33258,"hara",1,"gaspar"
-64.66801,18.33375,"hara",1,"gaspar"
-64.66337,18.33444,"hara",1,"gaspar"
-64.79126,18.34133,"hara",2,"gaspar"
-64.78789,18.34909,"hara",2,"gaspar"
-64.78503,18.3499,"hara",1,"gaspar"
-64.77314,18.35266,"hara",2,"gaspar"
-64.77705,18.35382,"hara",1,"gaspar"
-64.80042,18.35505,"hara",1,"gaspar"
-64.7961,18.35567,"hara",1,"gaspar"
-64.76681,18.35622,"hara",5,"gaspar"
-64.76842,18.35669,"hara",1,"gaspar"
-64.76523,18.35788,"hara",2,"gaspar"
-64.68675,18.35788,"hara",2,"gaspar"
-64.68679,18.35828,"hara",1,"gaspar"
-64.75478,18.3603,"hara",1,"gaspar"
-64.77456,18.36059,"hara",1,"gaspar"
-64.76209,18.36121,"hara",1,"gaspar"
-64.76156,18.36234,"hara",1,"gaspar"
-64.7597,18.3633,"hara",1,"gaspar"
-64.72849,18.36464,"hara",1,"gaspar"
-64.72079,18.36804,"hara",1,"gaspar"
-64.75981,18.36871,"hara",1,"gaspar"
-87.75391,18.49862,"hara",3,"gaspar"
-87.75536,18.50632,"hara",1,"gaspar"
-87.75413,18.50683,"hara",1,"gaspar"
-87.74973,18.51528,"hara",8,"gaspar"
-87.71691,18.65767,"hara",1,"gaspar"
-87.71944,18.66201,"hara",1,"gaspar"
-87.71886,18.66802,"hara",4,"gaspar"
-87.71826,18.67241,"hara",7,"gaspar"
-87.72092,18.67402,"hara",1,"gaspar"
-87.7149,18.67872,"hara",1,"gaspar"
-87.71662,18.67918,"hara",2,"gaspar"
-87.71301,18.68359,"hara",2,"gaspar"
-87.71176,18.69546,"hara",2,"gaspar"
-87.71154,18.70398,"hara",1,"gaspar"
-87.70771,18.70611,"hara",1,"gaspar"
-87.70444,18.71139,"hara",1,"gaspar"
-87.70194,18.7125,"hara",1,"gaspar"
-87.70458,18.71345,"hara",3,"gaspar"
-87.70222,18.71528,"hara",1,"gaspar"
-87.70455,18.71749,"hara",2,"gaspar"
-87.62361,18.90333,"hara",3,"gaspar"
-87.53694,19.1375,"hara",6,"gaspar"
-87.53611,19.14583,"hara",15,"gaspar"
-87.53334,19.15416,"hara",6,"gaspar"
-87.45,19.2833,"hara",2,"gaspar"
-87.42981,19.48697,"hara",2,"gaspar"
-87.42564,19.48698,"hara",1,"gaspar"
-87.42294,19.48699,"hara",2,"gaspar"
-87.41074,19.69844,"hara",1,"gaspar"
-87.46556,19.7675,"hara",1,"gaspar"
-87.42605,19.87751,"hara",1,"gaspar"
-87.4226,19.87754,"hara",2,"gaspar"
-87.46014,19.96922,"hara",1,"gaspar"
-87.45833,19.98639,"hara",3,"gaspar"
-87.46336,20.03135,"hara",2,"gaspar"
-87.47422,20.04158,"hara",1,"gaspar"
-87.46511,20.04382,"hara",1,"gaspar"
-87.46557,20.04399,"hara",2,"gaspar"
-87.46596,20.05647,"hara",1,"gaspar"
-87.46601,20.05699,"hara",4,"gaspar"
-87.02721,20.36258,"hara",1,"gaspar"
-87.01624,20.42251,"hara",1,"gaspar"
-87.00302,20.43923,"hara",1,"gaspar"
-86.9824,20.46945,"hara",2,"gaspar"
-86.9667,20.7333,"hara",4,"gaspar"
-86.86667,20.86028,"hara",2,"gaspar"
-86.8,21.0333,"hara",4,"gaspar"
-80.45833,24.95306,"hara",5,"gaspar"
-78.89,9.59,"hara",1,"rls"
-68.33,12.21,"hara",1,"rls"
-68.35,12.22,"hara",1,"rls"
-81.69,12.58,"hara",1,"rls"
-81.68,12.58,"hara",1,"rls"
-81.72,12.59,"hara",1,"rls"
-81.69,12.59,"hara",2,"rls"
-81.41,13.33,"hara",1,"rls"
-81.4,13.36,"hara",1,"rls"
-81.34,13.37,"hara",1,"rls"
-81.34,13.38,"hara",1,"rls"
-81.38,13.39,"hara",1,"rls"
-81.37,13.4,"hara",1,"rls"
-81.37,13.46,"hara",1,"rls"
-80.22,14.35,"hara",2,"rls"
-80.23,14.36,"hara",1,"rls"
-80.19,14.41,"hara",2,"rls"
-80.26,14.46,"hara",1,"rls"
-88.1,16.75,"hara",1,"rls"
-88.1,16.78,"hara",1,"rls"
-88.08,16.8,"hara",1,"rls"
-88.09,16.81,"hara",1,"rls"
-81.41,24.55,"hara",1,"rls"
-82.87,24.61,"hara",1,"rls"
-82.94,24.62,"hara",1,"rls"
-81.11,24.63,"hara",3,"rls"
-81.09,24.63,"hara",2,"rls"
-80.97,24.68,"hara",2,"rls"
-81.06,24.69,"hara",1,"rls"
-80.96,24.69,"hara",2,"rls"
-81.05,24.71,"hara",1,"rls"
-80.07,26.25,"hara",1,"rls"
