"scientificName","decimalLongitude","decimalLatitude"
"hara",-64.6781082153,18.3329296112
"hara",-64.6193695068,17.7845497131
"hara",-64.6664123535,17.7669296265
"hara",-64.5674209595,17.7808799744
"hara",-64.6172866821,17.7638092041
"hara",-64.5733108521,17.7876091003
"hara",-64.7731399536,18.3526592255
"hara",-64.7207870483,18.3680400848
"hara",-64.7705001831,18.3152008057
"hara",-64.6222229004,17.7907905579
"hara",-64.610168457,17.7877407074
"hara",-64.6112976074,17.7879600525
"hara",-76.1312179565,23.804019928
"hara",-64.6114425659,17.7859592438
"hara",-64.6898422241,18.3340396881
"hara",-64.7013473511,18.3122291565
"hara",-59.4744444444,13.1833333333
"hara",-64.6985168457,18.3294296265
"hara",-64.6123275757,17.7635803223
"hara",-64.6125030518,17.7992992401
"hara",-64.6108627319,17.7868900299
"hara",-64.5879669189,17.780040741
"hara",-60.9730567932,14.0625
"hara",-64.76121521,18.3160514832
"hara",-64.6321182251,17.7686004639
"hara",-64.6168212891,17.7961196899
"hara",-60.9666666667,14.0638888889
"hara",-64.6294403076,17.7651901245
"hara",-64.6100006104,17.7875785828
"hara",-64.6119232178,17.7881908417
"hara",-64.6022491455,17.7981491089
"hara",-64.5849075317,17.7844905853
"hara",-64.6889572144,18.3422107697
"hara",-64.5790786743,17.7855491638
"hara",-64.5998382568,17.7928905487
"hara",-64.6883468628,18.3426704407
"hara",-64.6116333008,17.7895107269
"hara",-60.9730567932,14.0625
"hara",-64.6215133667,17.765499115
"hara",-64.6091766357,17.7874794006
"hara",-64.6194534302,17.8048400879
"hara",-81.6999969482,12.5200004578
"hara",-64.6120223999,17.8045406342
"hara",-76.1115493774,23.7814292908
"hara",-64.5958862305,17.7994995117
"hara",-59.475,13.1825
"hara",-74.4063333,11.0345333
"hara",-82.008536,23.217485
"hara",-64.7340316772,18.3703193665
"hara",-64.6112289429,17.7899208069
"hara",-64.6112136841,17.790599823
"hara",-64.6092147827,17.8020439148
"hara",-64.6681137085,17.774969101
"hara",-64.6867523193,18.3578796387
"hara",-64.6359939575,17.7939186096
"hara",-64.6260528564,17.7910404205
"hara",-64.62525177,17.7922096252
