"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
1318479052,"821cc27a-e3bb-4bc5-ac34-89ada245069d","http://n2t.net/ark:/65665/338785f38-a19c-4d22-b59e-c561875b53be","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","BS","Lee Stocking Island, Norman's Pond Cay, outflow of pond and near ocean area","","PRESENT",3,"bc092ff0-02e4-11dc-991f-b8a03c50a862",23.7682,-76.1318,NA,NA,NA,NA,1,1,2005-05-28 00:00:00,28,5,2005,2384111,2384111,"PRESERVED_SPECIMEN","USNM","FISH","USNM 386375","","",NA,"CC0_1_0","","J. Van Tassel, D. Robertson & N. Delventhal","","",2023-06-02 11:41:14,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID"
4105105563,"ba5b0f3a-73dd-459f-a7f1-9abc327aed00","5e0165da-3ae4-4e8c-a82e-6cef09a66b87","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","US","higherGeography: | | | | | Gulf of Mexico | | | waterBody: Gulf of Mexico | islandGroup: | island: | municipality: | verbatimLocality: Gulf of Mexico | West Flower Gardens, NW Gulf of Mexico | locality: West Flower Gardens, NW Gulf of Mexico","","PRESENT",1,"3c6ad080-bdbe-11da-ac59-b8a03c50a862",27.86695,-93.81667,45,NA,NA,NA,NA,NA,1972-05-06 00:00:00,6,5,1972,2384111,2384111,"PRESERVED_SPECIMEN","University of Texas Biodiversity Collections (UTBC)","Ichthyology Collection","FOTX-TCWC_14293.01","","",NA,"CC0_1_0","","Bright, T.","","",2023-06-02 21:26:31,"","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COUNTRY_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
1287544903,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.337800","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","US","Vaca Key Bight S FL","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",24.7078,-81.048,NA,NA,NA,NA,NA,NA,2010-10-16 00:00:00,16,10,2010,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","GJE","","",2023-01-24 18:55:30,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287546596,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.42590","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","CO","Bajo Felipe","","PRESENT",2,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",13.3645,-81.4048,NA,NA,NA,NA,NA,NA,2011-03-17 00:00:00,17,3,2011,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","NJM","","",2023-01-24 18:55:30,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287546839,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.40247","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","CO","The Pinacles","","PRESENT",2,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",13.3803,-81.3389,NA,NA,NA,NA,NA,NA,2011-03-18 00:00:00,18,3,2011,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","MLD","","",2023-01-24 18:55:30,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287548062,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.37171","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","CO","Little Reef","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",12.5842,-81.6836,NA,NA,NA,NA,NA,NA,2011-03-22 00:00:00,22,3,2011,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","GJE","","",2023-01-24 18:55:30,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287548125,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.37238","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","CO","Little Reef","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",12.5842,-81.6836,NA,NA,NA,NA,NA,NA,2011-03-22 00:00:00,22,3,2011,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","NJM","","",2023-01-24 18:55:30,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287548422,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.44369","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","CO","Little Reef 2","","PRESENT",3,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",12.5862,-81.6887,NA,NA,NA,NA,NA,NA,2011-03-24 00:00:00,24,3,2011,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","MLD","","",2023-01-24 18:55:30,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287545492,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.44426","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","US","Garden Key SE","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",24.609,-82.8741,NA,NA,NA,NA,NA,NA,2011-03-07 00:00:00,7,3,2011,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","GJE","","",2023-01-24 18:55:10,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287548499,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.44627","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","CO","Little Reef 3","","PRESENT",3,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",12.5834,-81.6853,NA,NA,NA,NA,NA,NA,2011-03-24 00:00:00,24,3,2011,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","NJM","","",2023-01-24 18:55:11,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
