"decimalLongitude","decimalLatitude","scientificName","abundance","dataset"
-41.98448,-22.98048,"lujo",3,"gaspar"
-40.37878,-20.61235,"lujo",3,"gaspar"
-38.69528,-17.96472,"lujo",3,"gaspar"
-38.6625,-17.96278,"lujo",3,"gaspar"
-38.69778,-17.96139,"lujo",3,"gaspar"
-38.64133,-13.12917,"lujo",8,"gaspar"
-38.5491,-12.83708,"lujo",15,"gaspar"
-38.62637,-12.80916,"lujo",10,"gaspar"
-35.03442,-6.000694,"lujo",5,"gaspar"
-35.03928,-5.956183,"lujo",3,"gaspar"
-35.09007,-5.564467,"lujo",3,"gaspar"
-35.0725,-5.56435,"lujo",4,"gaspar"
-33.80355,-3.875172,"lujo",3,"gaspar"
-33.80944,-3.874725,"lujo",3,"gaspar"
-33.80944,-3.872986,"lujo",4,"gaspar"
-33.81225,-3.872956,"lujo",3,"gaspar"
-33.79191,-3.86895,"lujo",3,"gaspar"
-33.81777,-3.866636,"lujo",3,"gaspar"
-33.79379,-3.862211,"lujo",3,"gaspar"
-33.81884,-3.860347,"lujo",3,"gaspar"
-33.81805,-3.859675,"lujo",3,"gaspar"
-33.82062,-3.857917,"lujo",3,"gaspar"
-32.44599,-3.854376,"lujo",3,"gaspar"
-32.44057,-3.846539,"lujo",3,"gaspar"
-32.39484,-3.834419,"lujo",3,"gaspar"
-32.39059,-3.817208,"lujo",3,"gaspar"
-33.87252,-3.798292,"lujo",3,"gaspar"
-38.39165,-3.598067,"lujo",3,"gaspar"
-38.40838,-3.5683,"lujo",5,"gaspar"
-44.27903,-0.8703,"lujo",38,"gaspar"
-44.264283,-0.869867,"lujo",13,"gaspar"
-44.26428,-0.869867,"lujo",3,"gaspar"
-29.34303,0.918769,"lujo",3,"gaspar"
-82.93333,8.5,"lujo",2,"gaspar"
-82.22284,9.365996,"lujo",3,"gaspar"
-81.24271,13.21842,"lujo",2,"gaspar"
-81.2294,13.23217,"lujo",1,"gaspar"
-86.48333,15.95,"lujo",1,"gaspar"
-88.21194,16.8825,"lujo",13,"gaspar"
-87.82972,18.21083,"lujo",1,"gaspar"
-87.83167,18.21917,"lujo",2,"gaspar"
-87.83083,18.22861,"lujo",2,"gaspar"
-64.78117,18.35934,"lujo",2,"gaspar"
-87.71367,18.67373,"lujo",1,"gaspar"
-87.70458,18.71345,"lujo",1,"gaspar"
-87.46556,19.7675,"lujo",1,"gaspar"
-87.45833,19.98639,"lujo",2,"gaspar"
-87.46601,20.05699,"lujo",1,"gaspar"
-82.29,9.3,"lujo",7,"rls"
-81.34,13.37,"lujo",1,"rls"
-88.07,16.87,"lujo",1,"rls"
