Title,DOI,LatH,LatM,LatS,Dir,decimalLatitude,LonH,LonM,LonS,Dir,decimalLongitude,Depth,Date
First record of Neobenedenia melleni (Monogenea: Capsalidae) in dog snapper (Lutjanus jocu) in the western South Atlantic,10.1590/1678-4162-11600,19,56,,S,-19.93333333,40,10,,W,-40.16666667,,
"Occurrence of caligus asperimanus pearse, 1951 (Copepoda: Caligidae) parasitic lutjanus spp. (perciformes: Lutjanidae) in the western south atlantic [Ocorrência de caligus asperimanus pearse, 1951 (Copepoda: caligidae) parasitos de lutjanus spp. (perciformes: lutjanidae) no atlântico sul ocidental]",10.1590/s1984-29612020001,19,56,,S,-19.93333333,40,10,,W,-40.16666667,,
Phylogeography and Historical Demography of Two Sympatric Atlantic Snappers: Lutjanus analis and L. jocu,10.3389/fmars.2019.00545,3,37,22.75,S,-3.622986111,38,19,19.13,W,-38.32198056,,
Phylogeography and Historical Demography of Two Sympatric Atlantic Snappers: Lutjanus analis and L. jocu,10.3389/fmars.2019.00546,5,44,5.29,S,-5.734802778,35,4,3.94,W,-35.06776111,,
Phylogeography and Historical Demography of Two Sympatric Atlantic Snappers: Lutjanus analis and L. jocu,10.3389/fmars.2019.00547,12,57,54.19,S,-12.96505278,38,17,46.77,W,-38.296325,,
Phylogeography and Historical Demography of Two Sympatric Atlantic Snappers: Lutjanus analis and L. jocu,10.3389/fmars.2019.00548,20,22,53.1,S,-20.38141667,40,15,32.32,W,-40.25897778,,
Coastal fish assemblages reflect marine habitat connectivity and ontogenetic shifts in an estuary-bay-continental shelf gradient,10.1016/j.marenvres.2019.05.004,12,50,,S,-12.83333333,38,50,,W,-38.83333333,,
Levamisole on the biochemical and hematological responses to parasitism by monogenoids in dog snapper [Efeito do levamisol na resposta bioquímica e hematológica ao parasitismo por monogenoides em dentão],10.1590/0103-8478cr20190013,19,56,,S,-19.93333333,40,10,,W,-40.16666667,,
"Potential response of coral reef’s functional structure and snapper abundance to environmental degradation in San Andres Island, Colombia [Respuesta potencial de la estructura funcional de los arrecifes de coral y la abundancia de pargos a la degradación ambiental en San Andrés Isla, Colombia]",10.15446/abc.v24n1.72970,12,29,7,N,12.48527778,81,44,2,W,-81.73388889,,
"Potential response of coral reef’s functional structure and snapper abundance to environmental degradation in San Andres Island, Colombia [Respuesta potencial de la estructura funcional de los arrecifes de coral y la abundancia de pargos a la degradación ambiental en San Andrés Isla, Colombia]",10.15446/abc.v24n1.72971,12,30,30,N,12.50833333,81,43,47,W,-81.72972222,,
"Potential response of coral reef’s functional structure and snapper abundance to environmental degradation in San Andres Island, Colombia [Respuesta potencial de la estructura funcional de los arrecifes de coral y la abundancia de pargos a la degradación ambiental en San Andrés Isla, Colombia]",10.15446/abc.v24n1.72972,12,35,11,N,12.58638889,81,42,59,W,-81.71638889,,
Hematological and biochemical characteristics during the transport of dog snapper Lutjanus jocu (Perciformes: Lutjanidae),10.1590/1982-0224-20170140,19,56,,S,-19.93333333,40,10,,W,-40.16666667,,
"The Evolutionary Dynamics of Ribosomal Genes, Histone H3, and Transposable Rex Elements in the Genome of Atlantic Snappers",10.1093/jhered/esv136,5,45,37.08,S,-5.7603,35,12,19.61,W,-35.20544722,,*** APARENTEMENTE É JUVENIL. VER SE VAI USAR
Ultrastructure of novel thrombocytes in the dog snapper Lutjanus jocu,10.1111/jfb.12261,0,35,,S,-0.5833333333,48,30,,W,-48.5,,27-36CM
"Morphology and phylogeny of Henneguya jocu n. sp. (Myxosporea, Myxobolidae), infecting the gills of the marine fish Lutjanus jocu",10.1016/j.ejop.2013.12.002,0,35,,S,-0.5833333333,48,30,,W,-48.5,,
"Fish assemblage of the mamanguape environmental protection area, NE Brazil: Abundance, composition and microhabitat availability along the mangrove-reef gradient",10.1590/S1679-62252012000100011,6,46,20,S,-6.772222222,34,56,,W,-34.93333333,,
Following the leader': First record of a species from the genus Lutjanus acting as a follower of an octopus,10.1017/S1755267211000856,3,50,9,S,-3.835833333,32,25,9,W,-32.41916667,1-5,October 2010
"Diet and food partitioning between juveniles of mutton Lutjanus analis, dog Lutjanus jocu and lane Lutjanus synagris snappers (Perciformes: Lutjanidae) in a mangrove-fringed estuarine environment",10.1111/j.1095-8649.2010.02586.x,17,58,,S,-17.96666667,40,,,W,-40,,"VERIFICAR, POIS PEGA UMA ÁREA TODA"
"Feeding ecology of juvenile dog snapper Lutjanus jocu (Bloch and Shneider, 1801) (Lutjanidae) in intertidal mangrove creeks in Curuçá estuary (Northern Brazil)",10.1590/S1516-89132009000600014,10,,,S,-10,47,50,,W,-47.83333333,,
"Characterization of transient multi-species reef fish spawning aggregations at Gladden Spit, Belize",https://www.researchgate.net/publication/233571484_Characterization_of_Transient_Multi-Species_Reef_Fish_Spawning_Aggregations_at_Gladden_Spit_Belize,16,35,,N,16.58333333,88,,,W,-88,,
"Cytogenetic analysis in western Atlantic snappers (Perciformes, Lutjanidae)",10.1590/S1415-47572008000300011,5,46,43,S,-5.778611111,35,13,5,W,-35.21805556,,
Whale sharks Rhincodon typus aggregate to feed on fish spawn in Belize,10.3354/meps215275,16,30,,N,16.5,88,,,W,-88,,
Difference in the trophic structure of fish communities between artificial and natural habitats in a tropical estuary,10.1071/MF15326,8,39,45,S,-8.6625,35,6,15,W,-35.10416667,,November 2013 - May 2014
