"scientificName","decimalLongitude","decimalLatitude"
"lujo",-79.0194854736,20.8460006714
"lujo",-38.6923332214,-17.96733284
"lujo",-81.4143944,13.3655167
"lujo",-34.7117,-8.585
"lujo",-79.0194854736,20.8460006714
"lujo",-87.746131897,17.5942497253
"lujo",-81.34165,13.36515
"lujo",-78.8812637329,9.56204986572
"lujo",-79.1991348267,20.9685173035
"lujo",-79.467414856,21.0795173645
"lujo",-39.2000007629,-17.1000003815
"lujo",-74.1286111,11.3298611
"lujo",-34.7717,-8.53
"lujo",-74.1283611,11.3256111
"lujo",-77.3446666,8.639
"lujo",-81.352517,13.375383
"lujo",-38.966111,-17.988611
"lujo",-64.6108016968,17.789390564
"lujo",-60.7958335876,11.1875
"lujo",-72.6699981689453,11.8000001907349
"lujo",-75.8908333,9.8219444
"lujo",-77.9369430542,22.3719444275
"lujo",-39.000833,-17.708056
"lujo",-66.8577194214,11.7421503067
"lujo",-81.1809844971,21.7849006653
"lujo",-74.1169444,11.3313611
"lujo",-87.9389801025,17.3858337402
"lujo",-81.33430556,13.36819444
"lujo",-79.0006027222,20.840215683
"lujo",-44.28333333,-23.16666667
"lujo",-74.4557167,11.0733667
"lujo",-64.6895904541,18.333650589
"lujo",-81.34165,13.36515
"lujo",-81.3242340088,21.8624668121
"lujo",-79,9.5
"lujo",-60.7888888889,11.2138888889
"lujo",-64.7598876953,18.3602409363
"lujo",-84.5155487061,21.7940673828
"lujo",-74.1283611,11.3256111
"lujo",-74.1283611,11.3256111
"lujo",-81.3906333,13.3887667
"lujo",-74.1283611,11.3256111
"lujo",-81.1975631714,21.8046665192
"lujo",-74.1283611,11.3256111
"lujo",-75.7464444,10.2341944
"lujo",-75.7855556,9.7794444
"lujo",-74.14166667,11.32769444
"lujo",-79.9749984741,21.691400528
"lujo",-60.7958333333,11.1875
"lujo",-82.8050003052,9.73833370209
"lujo",-87.8297195435,18.2108325958
"lujo",-65.5336532593,18.3603496552
"lujo",-38.703666687,-17.9653339386
"lujo",-74.290435791,10.9901943207
"lujo",-81.4668502808,21.960483551
"lujo",-79.9578323364,19.7141170502
"lujo",-64.6943130493,18.3523197174
"lujo",-78.8812637329,9.56204986572
"lujo",-60.9730567932,14.0625
"lujo",-78.8551635742,20.7630004883
"lujo",-75.7706389,10.1748611
"lujo",-34.855,-8.5183
"lujo",-80.4755554199,23.2199993134
"lujo",-75.824889,9.810056
"lujo",-81.348167,13.366
"lujo",-82.9693984985,12.2915296555
"lujo",-77.3586666,8.6704166
"lujo",-77.33625,8.6420555
"lujo",-75.7464444,10.2341944
"lujo",-79.0299301147,9.50428295135
"lujo",-75.7706389,10.1748611
"lujo",-72.4800033569336,11.8000001907349
"lujo",-81.33430556,13.36819444
"lujo",-77.3566666,8.6721666
"lujo",-38.7010002136,-17.9636669159
"lujo",-60.8227767944,11.1850004196
"lujo",-75.7888611,10.1708889
"lujo",-67.0883407593,17.9614906311
"lujo",-78.444442749,22.5636119843
"lujo",-87.8316650391,18.219165802
"lujo",-77.33625,8.6420555
"lujo",-60.9730555556,14.0625
"lujo",-81.7333333,12.5004167
"lujo",-77.3566666,8.6721666
"lujo",-64.677520752,18.2852096558
"lujo",-77.3446666,8.639
"lujo",-81.352517,13.375383
"lujo",-77.4655532837,21.843334198
"lujo",-64.6981201172,18.3342704773
"lujo",-60.6666666667,11.25
"lujo",-75.8908333,9.8219444
"lujo",-64.2314987183,18.6660823822
"lujo",-81.352517,13.375383
"lujo",-81.348167,13.366
"lujo",-74.3701167,11.1063
"lujo",-88.0285644531,17.3521499634
"lujo",-77.33625,8.6420555
"lujo",-60.6666679382,11.25
"lujo",-64.6973571777,18.3338508606
"lujo",-79.1034851074,20.9013156891
"lujo",-38.7033348083,-17.9641666412
"lujo",-71.96114444,12.18377778
"lujo",-64.728187561,18.2695198059
"lujo",-81.405056,13.362722
"lujo",-82.8050003052,9.73833370209
"lujo",-77.3586666,8.6704166
"lujo",-75.8908333,9.8219444
"lujo",-75.7855556,9.7794444
"lujo",-74.1286111,11.3298611
"lujo",-66.8740921021,17.9498996735
"lujo",-38.678889,-18.048056
"lujo",-75.7464444,10.2341944
"lujo",-64.7513580322,18.362449646
"lujo",-77.33625,8.6420555
"lujo",-66.8577194214,11.7421503067
"lujo",-74.2211837769,11.2447366714
"lujo",-60.8188896179,11.1666669846
"lujo",-74.1283611,11.3256111
"lujo",-74.1286111,11.3298611
"lujo",-64.6963882446,18.332529068
"lujo",-77.3566666,8.6721666
"lujo",-64.6942214966,18.3520507812
"lujo",-38.7010002136,-17.9636669159
"lujo",-74.14166667,11.32769444
"lujo",-81.348167,13.366
"lujo",-38.6951675415,-17.9815006256
"lujo",-38.7066650391,-17.9624996185
"lujo",-75.7706389,10.1748611
"lujo",-81.7258,12.5687
"lujo",-74.4161987305,10.785774231
"lujo",-75.8908333,9.8219444
"lujo",-46.668,-0.898
"lujo",-74.1283611,11.3256111
"lujo",-64.6936264038,18.3472499847
"lujo",-75.7464444,10.2341944
