"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
1322740181,"821cc27a-e3bb-4bc5-ac34-89ada245069d","http://n2t.net/ark:/65665/3f4fd75e7-0b8b-482a-a5c8-e5bbde586c20","Animalia","Chordata",NA,"Perciformes","Lutjanidae","Lutjanus","Lutjanus jocu",NA,"SPECIES","Lutjanus jocu (Bloch & Schneider, 1801)","Lutjanus jocu","","BR","Brazil, Bahia, Municipio de Prado, reef just north of the Town of Cumuruxatiba, a coral reef called Corva Vermelha (Red Crown) by the local people.","Bahia","PRESENT",2,"bc092ff0-02e4-11dc-991f-b8a03c50a862",-17.1,-39.18,NA,NA,NA,NA,0.4,0.4,1985-03-21,21,3,1985,2384948,2384948,"PRESERVED_SPECIMEN","USNM","FISH","USNM 274876","","",NA,"CC0_1_0","","N. Menezes et al.","","",2023-06-02 11:40:10,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID"
4105039895,"ba5b0f3a-73dd-459f-a7f1-9abc327aed00","4bee5017-907d-47dd-925a-68604692cce6","Animalia","Chordata",NA,"Perciformes","Lutjanidae","Lutjanus","Lutjanus jocu",NA,"SPECIES","Lutjanus jocu (Bloch & Schneider, 1801)","Lutjanus jocu","","US","TXFG10-FGBW2","","PRESENT",NA,"3c6ad080-bdbe-11da-ac59-b8a03c50a862",27.8741,-93.8154,45,NA,NA,NA,NA,NA,2010-10-17,17,10,2010,2384948,2384948,"HUMAN_OBSERVATION","University of Texas Biodiversity Collections (UTBC)","Ichthyology Collection","FOTX-EPA_42268","","",NA,"CC0_1_0","","","","",2023-06-02 21:26:30,"","COUNTRY_DERIVED_FROM_COORDINATES"
3310419579,"f946666e-67dc-4848-9fa8-2162f3559e33","BDBB97C0-D385-34A9-E053-3014A8C073B0","Animalia","Chordata",NA,"Perciformes","Lutjanidae","Lutjanus","Lutjanus jocu",NA,"SPECIES","Lutjanus jocu (Bloch & Schneider, 1801)","Lutjanus jocu (Bloch & Schneider, 1801)","","GF","","Guyane française","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",4.87121,-51.94334,5000,NA,NA,NA,NA,NA,2013-01-01,NA,NA,2013,2384948,2384948,"HUMAN_OBSERVATION","UMS PatriNat","","","","",NA,"CC_BY_4_0","","A. Hauselmann","","",2023-01-25 00:38:42,"","COUNTRY_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
3073401142,"f946666e-67dc-4848-9fa8-2162f3559e33","BDBB97C3-DE1F-5040-E053-0514A8C0275F","Animalia","Chordata",NA,"Perciformes","Lutjanidae","Lutjanus","Lutjanus jocu",NA,"SPECIES","Lutjanus jocu (Bloch & Schneider, 1801)","Lutjanus jocu (Bloch & Schneider, 1801)","","GF","","Guyane française","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",5.29743,-52.58959,5000,NA,NA,NA,NA,NA,2012-01-01,NA,NA,2012,2384948,2384948,"HUMAN_OBSERVATION","UMS PatriNat","","","","",NA,"CC_BY_4_0","","Covain R., Fisch-Muller S., Jégu M., Keith P., Le Bail P-Y., Vigouroux R.","","",2023-01-25 00:39:07,"","COUNTRY_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
1287709117,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.35781","Animalia","Chordata",NA,"Perciformes","Lutjanidae","Lutjanus","Lutjanus jocu",NA,"SPECIES","Lutjanus jocu (Bloch & Schneider, 1801)","Lutjanus jocu","","BR","Lighthouse Santa Barbara","","PRESENT",2,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",-17.9655,-38.694,NA,NA,NA,NA,NA,NA,2012-02-28,28,2,2012,2384948,2384948,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","GJE","","",2023-01-24 18:55:36,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287709634,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.33520","Animalia","Chordata",NA,"Perciformes","Lutjanidae","Lutjanus","Lutjanus jocu",NA,"SPECIES","Lutjanus jocu (Bloch & Schneider, 1801)","Lutjanus jocu","","BR","Areng","","PRESENT",2,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",-17.6666,-38.9972,NA,NA,NA,NA,NA,NA,2012-03-02,2,3,2012,2384948,2384948,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","GJE","","",2023-01-24 18:55:21,"","FOOTPRINT_WKT_MISMATCH"
1287709150,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.35782","Animalia","Chordata",NA,"Perciformes","Lutjanidae","Lutjanus","Lutjanus jocu",NA,"SPECIES","Lutjanus jocu (Bloch & Schneider, 1801)","Lutjanus jocu","","BR","Lighthouse Santa Barbara","","PRESENT",5,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",-17.9655,-38.694,NA,NA,NA,NA,NA,NA,2012-02-28,28,2,2012,2384948,2384948,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","GJE","","",2023-01-24 18:55:21,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287709287,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.35921","Animalia","Chordata",NA,"Perciformes","Lutjanidae","Lutjanus","Lutjanus jocu",NA,"SPECIES","Lutjanus jocu (Bloch & Schneider, 1801)","Lutjanus jocu","","BR","Juarita Isla","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",-17.9606,-38.6936,NA,NA,NA,NA,NA,NA,2012-02-29,29,2,2012,2384948,2384948,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","GJE","","",2023-01-24 18:55:21,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287709626,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.33519","Animalia","Chordata",NA,"Perciformes","Lutjanidae","Lutjanus","Lutjanus jocu",NA,"SPECIES","Lutjanus jocu (Bloch & Schneider, 1801)","Lutjanus jocu","","BR","Areng","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",-17.6666,-38.9972,NA,NA,NA,NA,NA,NA,2012-03-02,2,3,2012,2384948,2384948,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","GJE","","",2023-01-24 18:55:36,"","FOOTPRINT_WKT_MISMATCH"
1287818282,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.20351","Animalia","Chordata",NA,"Perciformes","Lutjanidae","Lutjanus","Lutjanus jocu",NA,"SPECIES","Lutjanus jocu (Bloch & Schneider, 1801)","Lutjanus jocu","","PA","Long Point","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",9.3016,-82.2948,NA,NA,NA,NA,NA,NA,2015-04-04,4,4,2015,2384948,2384948,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","RSS","","",2023-01-24 18:55:26,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287546750,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.32352","Animalia","Chordata",NA,"Perciformes","Lutjanidae","Lutjanus","Lutjanus jocu",NA,"SPECIES","Lutjanus jocu (Bloch & Schneider, 1801)","Lutjanus jocu","","CO","Coral Nursery","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",13.3748,-81.344,NA,NA,NA,NA,NA,NA,2011-03-18,18,3,2011,2384948,2384948,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","MLD","","",2023-01-24 18:55:30,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
863116868,"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","MCZ:Ich:45608","Animalia","Chordata",NA,"Perciformes","Lutjanidae","Lutjanus","Lutjanus jocu",NA,"SPECIES","Lutjanus jocu (Bloch & Schneider, 1801)","Lutjanus jocu (Bloch and Schneider, 1801)","(Bloch and Schneider, 1801)","PA","Along shore at San Lorenzo, Fort Sherman, near Colon. Mouth of small freshwater stream","","PRESENT",24,"b4640710-8e03-11d8-b956-b8a03c50a862",9.322184,-80.001875,8067,NA,NA,NA,0.75,0.25,1967-04-03,3,4,1967,2384948,2384948,"PRESERVED_SPECIMEN","MCZ","Ich","45608","","Meaghan H. Sorce",2019-07-08,"CC_BY_NC_4_0","President and Fellows of Harvard College","John A. Musick, and party","","",2023-06-02 01:21:30,"","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
