"year","class","genus","month","order","family","phylum","country","eventID","habitat","kingdom","language","locality","modified","datasetID","eventDate","waterBody","references","countryCode","datasetName","fieldNumber","occurrenceID","rightsHolder","basisOfRecord","geodeticDatum","verbatimDepth","scientificName","vernacularName","decimalLatitude","higherGeography","locationRemarks","nameAccordingTo","specificEpithet","decimalLongitude","occurrenceStatus","scientificNameID","dynamicProperties","occurrenceRemarks","maximumDepthInMeters","minimumDepthInMeters","ownerInstitutionCode","bibliographicCitation","id","dataset_id","depth","date_start","date_mid","date_end","date_year","node_id","dropped","absence","marine","brackish","terrestrial","subphylum","infraphylum","parvphylum","gigaclass","subclass","species","kingdomid","phylumid","subphylumid","infraphylumid","parvphylumid","gigaclassid","classid","subclassid","orderid","familyid","genusid","speciesid","aphiaID","originalScientificName","bathymetry","shoredistance","sst","sss","georeferenceProtocol","island","organismQuantityType","parentEventID","recordedBy","sampleSizeUnit","sampleSizeValue","samplingEffort","samplingProtocol","taxonRank","verbatimCoordinateSystem","superclass","superclassid","license","maximumElevationInMeters","minimumElevationInMeters","organismQuantity","parentNameUsageID","scientificNameAuthorship","stateProvince","type","verbatimIdentification","catalogNumber","collectionCode","day","institutionCode","eventRemarks","identificationQualifier","identificationRemarks","identifiedBy","continent","county","fieldNotes","identificationVerificationStatus","institutionID","islandGroup","locationID","nomenclaturalCode","previousIdentifications","taxonomicStatus","verbatimCoordinates","verbatimEventDate","verbatimLatitude","verbatimLocality","verbatimLongitude","municipality","footprintSRS","collectionID","recordNumber","individualCount","locationAccordingTo","nameAccordingToID","coordinateUncertaintyInMeters","higherClassification","preparations","georeferenceRemarks","otherCatalogNumbers","startDayOfYear","associatedReferences","dateIdentified","coordinatePrecision","sex","eventTime","accessRights","informationWithheld","georeferenceVerificationStatus","organismRemarks","verbatimSRS","georeferencedBy","georeferenceSources","endDayOfYear","acceptedNameUsage","footprintWKT","higherGeographyID"
"2001","Teleostei","Lutjanus","8","Eupercaria incertae sedis","Lutjanidae","Chordata",NA,NA,NA,"Animalia",NA,NA,NA,NA,"2001-08-21T12:00:00Z",NA,NA,NA,NA,NA,NA,NA,"HumanObservation",NA,NA,"Lutjanus jocu",NA,20.8460006714,NA,NA,NA,NA,-79.0194854736,NA,"urn:lsid:marinespecies.org:taxname:159798",NA,NA,1.2,1.2,NA,NA,"018bda7e-cdfd-4e2a-9085-7da2930c325f","e191604f-fe12-424a-9bc7-98100d969515",1.2,9.98352e+11,9.98352e+11,9.98352e+11,2001,"310922b4-9d0c-4de1-92d7-9b442d34765b",FALSE,FALSE,TRUE,TRUE,NA,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Teleostei","Lutjanus jocu",2,1821,146419,1828,152352,10194,293496,293496,1517577,151453,159791,159798,159798,"Lutjanus jocu",23,679,28.13,35.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Actinopteri",843664,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agrra_fish","agrra_fish","21","AGRRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000","Teleostei","Lutjanus","4","Eupercaria incertae sedis","Lutjanidae","Chordata",NA,NA,NA,"Animalia",NA,NA,NA,NA,"2000-04-10T12:00:00Z",NA,NA,NA,NA,NA,NA,NA,"HumanObservation",NA,NA,"Lutjanus jocu",NA,-17.96733284,NA,NA,NA,NA,-38.6923332214,NA,"urn:lsid:marinespecies.org:taxname:159798",NA,NA,3.8,3.8,NA,NA,"01bb0b15-15b8-4f3a-8abd-d61d718e2463","e191604f-fe12-424a-9bc7-98100d969515",3.8,955324800000,955324800000,955324800000,2000,"310922b4-9d0c-4de1-92d7-9b442d34765b",FALSE,FALSE,TRUE,TRUE,NA,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Teleostei","Lutjanus jocu",2,1821,146419,1828,152352,10194,293496,293496,1517577,151453,159791,159798,159798,"Lutjanus jocu",4,234,25.9,37.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Actinopteri",843664,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agrra_fish","agrra_fish","10","AGRRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","Teleostei","Lutjanus","09","Eupercaria incertae sedis","Lutjanidae","Chordata","Colombia","INVEMAR:SIMAC:CenPec:SFE-2:2006-09-28","Area coralina","Animalia",NA,"Reserva de Biosfera Sea Flower, San Felipe Estación SFE 2",NA,"INVEMAR:SIMAC:1999","2006-09-28","Mar Caribe",NA,"CO","Sistema de Monitoreo de Arrecifes Coralinos - SIMAC 2006",NA,"INVEMAR:SIMAC:CenPec:SFE-2:2006:M6:018198",NA,"HumanObservation","WGS84",NA,"Lutjanus jocu",NA,13.3655167,NA,NA,NA,"jocu",-81.4143944,"present","urn:lsid:marinespecies.org:taxname:159798",NA,NA,12,11,NA,NA,"02c78252-653c-403a-996c-f0857a483611","95dcd908-a6b9-4422-a441-42caa46724f5",11.5,1159401600000,1159401600000,1159401600000,2006,"d2f71b1b-9138-4aba-ad8f-8327ac3d041e",FALSE,FALSE,TRUE,TRUE,NA,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Teleostei","Lutjanus jocu",2,1821,146419,1828,152352,10194,293496,293496,1517577,151453,159791,159798,159798,"Lutjanus jocu",89,2514,28.14,35.74,NA,"Providencia","Individuos","INVEMAR:SIMAC:CenPec:SFE","Nacor Bolaños | Katherine Bernal","metros cuadrados","60","5 censos X 2 personas X 3 parcelas= 30 censos","Protocolo SIMAC - Censo abundancia de peces arrecifales","Especie",NA,"Actinopteri",843664,NA,NA,NA,"1",NA,"(Bloch & Schneider, 1801)","Archipiélago de San Andrés, Providencia y Santa Catalina",NA,NA,NA,NA,"28","Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)","Nivel profundidad intermedio.",NA,NA,NA,"SA","Providencia","El número junto a letra que indica la parcela (S, M, P) corresponde al transecto evaluado.","Verificado","800250062-0","Archipiélago de San Andrés, Providencia y Santa Catalina","http://marineregions.org/mrgid/25303","ICZN","Lutjanus jocu","Válido","""13° 21' 55.8"""" N 81° 24' 51.8"""" W""","2006/09/28","""13° 21' 55.8"""" N""","San Felipe 2","""81° 24' 51.8"""" W""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","Teleostei","Lutjanus",NA,"Eupercaria incertae sedis","Lutjanidae","Chordata","Brazil",NA,NA,"Animalia",NA,"offshore",NA,NA,"2006-07-02T12:00:00Z","South Atlantic",NA,NA,NA,"9",NA,NA,"HumanObservation",NA,NA,"Lutjanus jocu",NA,-8.585,NA,NA,NA,NA,-34.7117,NA,"urn:lsid:marinespecies.org:taxname:159798",NA,"Published as Lutijanus jocu",NA,100,NA,NA,"02f1ab50-952b-4d98-8fb0-7f0c28503969","49b938b5-2d5a-43c0-92f9-26354f189f82",100,1151798400000,1151798400000,1151798400000,2006,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",FALSE,FALSE,TRUE,TRUE,NA,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Teleostei","Lutjanus jocu",2,1821,146419,1828,152352,10194,293496,293496,1517577,151453,159791,159798,159798,"Lutjanus jocu",467,32338,27.43,36.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Actinopteri",843664,NA,NA,NA,NA,NA,"(Bloch and Schneider, 1801)",NA,NA,NA,"66","RAP",NA,"UFPE",NA,NA,NA,NA,NA,"Ipojuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001","Teleostei","Lutjanus","8","Eupercaria incertae sedis","Lutjanidae","Chordata",NA,NA,NA,"Animalia",NA,NA,NA,NA,"2001-08-21T12:00:00Z",NA,NA,NA,NA,NA,NA,NA,"HumanObservation",NA,NA,"Lutjanus jocu",NA,20.8460006714,NA,NA,NA,NA,-79.0194854736,NA,"urn:lsid:marinespecies.org:taxname:159798",NA,NA,1.2,1.2,NA,NA,"03979a91-472e-48ef-a9d4-53c5bdaab92a","e191604f-fe12-424a-9bc7-98100d969515",1.2,9.98352e+11,9.98352e+11,9.98352e+11,2001,"310922b4-9d0c-4de1-92d7-9b442d34765b",FALSE,FALSE,TRUE,TRUE,NA,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Teleostei","Lutjanus jocu",2,1821,146419,1828,152352,10194,293496,293496,1517577,151453,159791,159798,159798,"Lutjanus jocu",23,679,28.13,35.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Actinopteri",843664,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agrra_fish","agrra_fish","21","AGRRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000","Teleostei","Lutjanus","7","Eupercaria incertae sedis","Lutjanidae","Chordata",NA,NA,NA,"Animalia",NA,NA,NA,NA,"2000-07-12T00:24:49Z",NA,NA,NA,NA,NA,NA,NA,"HumanObservation",NA,NA,"Lutjanus jocu",NA,17.5942497253,NA,NA,NA,NA,-87.746131897,NA,"urn:lsid:marinespecies.org:taxname:159798",NA,NA,2.2,2.2,NA,NA,"04ab6c41-be63-4938-94cf-7e9857feb058","e191604f-fe12-424a-9bc7-98100d969515",2.2,9.6336e+11,9.6336e+11,9.6336e+11,2000,"310922b4-9d0c-4de1-92d7-9b442d34765b",FALSE,FALSE,TRUE,TRUE,NA,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Teleostei","Lutjanus jocu",2,1821,146419,1828,152352,10194,293496,293496,1517577,151453,159791,159798,159798,"Lutjanus jocu",27,2524,28.06,35.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Actinopteri",843664,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agrra_fish","agrra_fish","12","AGRRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014","Teleostei","Lutjanus","10","Eupercaria incertae sedis","Lutjanidae","Chordata","Colombia","INVEMAR:ICTac:AbunPec:MRC-1:2014-10-01",NA,"Animalia",NA,"Parque Nacional Natural Old Providence and McBean Lagoon, Marcela's Place, Estación MRC 1",NA,NA,"2014-10-01","Mar Caribe",NA,"CO",NA,NA,"INVEMAR:ICTac:AbunPec:MRC-1:2014:S:019159",NA,"HumanObservation","WGS84",NA,"Lutjanus jocu",NA,13.36515,NA,NA,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Lutjanus jocu (Bloch & Schneider, 1801). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159798 on 2021-10-03","jocu",-81.34165,"present","urn:lsid:marinespecies.org:taxname:159798",NA,NA,7,2,NA,NA,"062cde9f-752d-4ddd-88ed-a0cdb0bdaf69","7140a522-1379-452e-a8a7-8841a96fe656",4.5,1412121600000,1412121600000,1412121600000,2014,"d2f71b1b-9138-4aba-ad8f-8327ac3d041e",FALSE,FALSE,TRUE,TRUE,NA,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Teleostei","Lutjanus jocu",2,1821,146419,1828,152352,10194,293496,293496,1517577,151453,159791,159798,159798,"Lutjanus jocu",159,929,28.14,35.74,NA,"Providencia","individuos","INVEMAR:ICTac:AbunPec:MRC","Posada Santiago | Galeano Elizabeth","metros cuadrados","60","10 transectos de banda de 2 x 30","Transectos de banda","Especie",NA,"Actinopteri",843664,NA,NA,NA,"1",NA,"(Bloch & Schneider, 1801)","Archipiélago de San Andrés, Providencia y Santa Catalina",NA,NA,NA,NA,"01","Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andréis (Invemar)",NA,NA,NA,NA,"SA","Providencia",NA,"Verificado","800.250.062-0","Archipiélago de San Andrés, Providencia y Santa Catalina","http://marineregions.org/mrgid/25303",NA,"Lutjanus jocu","Aceptado",NA,"01/10/14",NA,"Marcela's place",NA,NA,NA,NA,NA,NA,"Dato in situ usando GPS | Estandarización político andministrativa Colombia DANE - Divipola | Marine Regions Gazetteer - MRG","http://www.marinespecies.org/aphia.php?p=taxdetails&id=159798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2002","Teleostei","Lutjanus","6","Eupercaria incertae sedis","Lutjanidae","Chordata",NA,NA,NA,"Animalia",NA,NA,NA,NA,"2002-06-27T00:21:27Z",NA,NA,NA,NA,NA,NA,NA,"HumanObservation",NA,NA,"Lutjanus jocu",NA,9.56204986572,NA,NA,NA,NA,-78.8812637329,NA,"urn:lsid:marinespecies.org:taxname:159798",NA,NA,3.1,3.1,NA,NA,"08d3610a-786d-4aee-9458-ae42850207d2","e191604f-fe12-424a-9bc7-98100d969515",3.1,1.025136e+12,1.025136e+12,1.025136e+12,2002,"310922b4-9d0c-4de1-92d7-9b442d34765b",FALSE,FALSE,TRUE,TRUE,NA,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Teleostei","Lutjanus jocu",2,1821,146419,1828,152352,10194,293496,293496,1517577,151453,159791,159798,159798,"Lutjanus jocu",2,168,28.24,35.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Actinopteri",843664,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agrra_fish","agrra_fish","27","AGRRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001","Teleostei","Lutjanus","8","Eupercaria incertae sedis","Lutjanidae","Chordata",NA,NA,NA,"Animalia",NA,NA,NA,NA,"2001-08-25T12:00:00Z",NA,NA,NA,NA,NA,NA,NA,"HumanObservation",NA,NA,"Lutjanus jocu",NA,20.9685173035,NA,NA,NA,NA,-79.1991348267,NA,"urn:lsid:marinespecies.org:taxname:159798",NA,NA,1.2,1.2,NA,NA,"0b12e587-eff2-4fb4-9a7b-8ea04361f225","e191604f-fe12-424a-9bc7-98100d969515",1.2,998697600000,998697600000,998697600000,2001,"310922b4-9d0c-4de1-92d7-9b442d34765b",FALSE,FALSE,TRUE,TRUE,NA,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Teleostei","Lutjanus jocu",2,1821,146419,1828,152352,10194,293496,293496,1517577,151453,159791,159798,159798,"Lutjanus jocu",6,1095,28.13,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Actinopteri",843664,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agrra_fish","agrra_fish","25","AGRRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001","Teleostei","Lutjanus","8","Eupercaria incertae sedis","Lutjanidae","Chordata",NA,NA,NA,"Animalia",NA,NA,NA,NA,"2001-08-26T12:00:00Z",NA,NA,NA,NA,NA,NA,NA,"HumanObservation",NA,NA,"Lutjanus jocu",NA,21.0795173645,NA,NA,NA,NA,-79.467414856,NA,"urn:lsid:marinespecies.org:taxname:159798",NA,NA,1.2,1.2,NA,NA,"0b8504b8-0b32-4b17-9aa6-c7564743f7cc","e191604f-fe12-424a-9bc7-98100d969515",1.2,9.98784e+11,9.98784e+11,9.98784e+11,2001,"310922b4-9d0c-4de1-92d7-9b442d34765b",FALSE,FALSE,TRUE,TRUE,NA,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Teleostei","Lutjanus jocu",2,1821,146419,1828,152352,10194,293496,293496,1517577,151453,159791,159798,159798,"Lutjanus jocu",13,3958,28.13,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Actinopteri",843664,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agrra_fish","agrra_fish","26","AGRRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
