"decimalLongitude","decimalLatitude","scientificName","abundance","dataset"
-48.432,-27.8455,"mybo",3,"gaspar"
-48.46837,-27.69803,"mybo",3,"gaspar"
-48.38758,-27.60351,"mybo",4,"gaspar"
-48.36104,-27.29822,"mybo",3,"gaspar"
-48.36381,-27.29061,"mybo",3,"gaspar"
-48.36848,-27.27704,"mybo",3,"gaspar"
-48.33167,-27.26447,"mybo",3,"gaspar"
-48.3991,-27.17457,"mybo",3,"gaspar"
-45.28362,-23.93538,"mybo",3,"gaspar"
-45.39389,-23.83033,"mybo",3,"gaspar"
-44.37268,-23.16732,"mybo",3,"gaspar"
-44.42097,-23.00038,"mybo",3,"gaspar"
-40.40759,-20.69963,"mybo",3,"gaspar"
-38.71583,-17.97056,"mybo",3,"gaspar"
-38.69528,-17.96472,"mybo",3,"gaspar"
-38.6625,-17.96278,"mybo",3,"gaspar"
-38.69778,-17.96139,"mybo",3,"gaspar"
-38.51111,-12.9386,"mybo",3,"gaspar"
-38.529,-12.87,"mybo",3,"gaspar"
-38.5491,-12.83708,"mybo",3,"gaspar"
-38.62637,-12.80916,"mybo",3,"gaspar"
-35.0725,-5.56435,"mybo",3,"gaspar"
-38.39165,-3.598067,"mybo",3,"gaspar"
-38.38077,-3.5736,"mybo",3,"gaspar"
-44.27903,-0.8703,"mybo",3,"gaspar"
-44.264283,-0.869867,"mybo",3,"gaspar"
-81.24985,13.21428,"mybo",1,"gaspar"
-81.24271,13.21842,"mybo",1,"gaspar"
-81.23966,13.23903,"mybo",1,"gaspar"
-81.23199,13.24438,"mybo",1,"gaspar"
-81.23426,13.26544,"mybo",1,"gaspar"
-86.48333,15.95,"mybo",1,"gaspar"
-86.5004,15.9945,"mybo",1,"gaspar"
-87.82972,18.21083,"mybo",1,"gaspar"
-87.83167,18.21917,"mybo",1,"gaspar"
-87.75413,18.50683,"mybo",1,"gaspar"
-87.71944,18.66201,"mybo",1,"gaspar"
-87.71367,18.67373,"mybo",1,"gaspar"
-87.72092,18.67402,"mybo",1,"gaspar"
-87.70055,18.715,"mybo",1,"gaspar"
-87.62361,18.90333,"mybo",1,"gaspar"
-87.39607,19.57868,"mybo",1,"gaspar"
-87.46556,19.7675,"mybo",2,"gaspar"
-87.44659,19.79111,"mybo",1,"gaspar"
-87.45094,19.96924,"mybo",1,"gaspar"
-87.45833,19.98639,"mybo",1,"gaspar"
-87.46336,20.03135,"mybo",1,"gaspar"
-87.47422,20.04158,"mybo",1,"gaspar"
-87.46601,20.05699,"mybo",1,"gaspar"
-87.0286,20.3772,"mybo",1,"gaspar"
-87.00302,20.43923,"mybo",2,"gaspar"
-78.8498,20.76025,"mybo",3,"gaspar"
-80.41444,24.9875,"mybo",3,"gaspar"
-80.37083,25.01389,"mybo",5,"gaspar"
-82.12,9.27,"mybo",1,"rls"
-82.22,9.33,"mybo",1,"rls"
-78.95,9.56,"mybo",1,"rls"
-81.4,13.37,"mybo",1,"rls"
-81.42,13.38,"mybo",1,"rls"
-81.38,13.39,"mybo",1,"rls"
-88.07,16.87,"mybo",1,"rls"
-82.87,24.61,"mybo",1,"rls"
-82.94,24.62,"mybo",1,"rls"
-82.86,24.62,"mybo",1,"rls"
-81.11,24.63,"mybo",1,"rls"
-81.09,24.63,"mybo",1,"rls"
-80.97,24.68,"mybo",1,"rls"
-81.03,24.69,"mybo",1,"rls"
-80.96,24.69,"mybo",1,"rls"
-81.05,24.71,"mybo",1,"rls"
