Title,DOI,LatH,LatM,LatS,Dir,decimalLatitude,LonH,LonM,LonS,Dir,decimalLongitude,Depth,Date
The trophic ecology of Caribbean reef sharks (Carcharhinus perezi) relative to other large teleost predators on an isolated coral atoll,10.1007/s00227-018-3322-2,16,44,,N,16.73333333,87,48,,W,-87.8,,MAY/2011 - AUG/2013
Fish community and single-species indicators provide evidence of unsustainable practices in a multi-gear reef fishery,10.1016/j.fishres.2018.07.003,16,44,,N,16.73333333,87,48,,W,-87.8,,
Sounds associated with the reproductive behavior of the black grouper (Mycteroperca bonaci),10.1007/s00227-013-2324-3,18,22,,N,18.36666667,67,43,,W,-67.71666667,,
"Length-based indicators of fishery and ecosystem status: Glover's Reef Marine Reserve, Belize",10.1016/j.fishres.2013.03.011,16,44,,N,16.73333333,87,48,,W,-87.8,,
"Metazoan parasites of Mycteroperca bonaci (Epinephelidae) off the coast of Yucatán, Mexico, with a checklist of its parasites in the Gulf of Mexico and Caribbean region",10.7550/rmb.27989,20,51,34,N,20.85944444,90,24,69,W,-90.41916667,,
"Metazoan parasites of Mycteroperca bonaci (Epinephelidae) off the coast of Yucatán, Mexico, with a checklist of its parasites in the Gulf of Mexico and Caribbean region",10.7550/rmb.27990,21,24,0,N,21.4,88,50,52,W,-88.84777778,,
"Metazoan parasites of Mycteroperca bonaci (Epinephelidae) off the coast of Yucatán, Mexico, with a checklist of its parasites in the Gulf of Mexico and Caribbean region",10.7550/rmb.27991,22,22,41,N,22.37805556,89,30,57,W,-89.51583333,,
"Diet composition of juvenile black grouper (Mycteroperca bonaci) from coastal nursery areas of the Yucatán Peninsula, Mexico",https://www.researchgate.net/publication/263248150_Diet_composition_of_juvenile_black_grouper_Mycteroperca_bonaci_from_coastal_nursery_areas_of_the_Yucatan_Peninsula_Mexico,21,15,,N,21.25,90,15,,W,-90.25,,
"Diet composition of juvenile black grouper (Mycteroperca bonaci) from coastal nursery areas of the Yucatán Peninsula, Mexico",https://www.researchgate.net/publication/263248150_Diet_composition_of_juvenile_black_grouper_Mycteroperca_bonaci_from_coastal_nursery_areas_of_the_Yucatan_Peninsula_Mexico,21,30,,N,21.5,88,45,,W,-88.75,,
"Diet composition of juvenile black grouper (Mycteroperca bonaci) from coastal nursery areas of the Yucatán Peninsula, Mexico",https://www.researchgate.net/publication/263248150_Diet_composition_of_juvenile_black_grouper_Mycteroperca_bonaci_from_coastal_nursery_areas_of_the_Yucatan_Peninsula_Mexico,21,40,,N,21.66666667,88,10,,W,-88.16666667,,
"Pseudorhabdosynochus capurroi sp. n. (Monogenea: Diplectanidae) from the gills of Mycteroperca bonaci (Pisces: Serranidae) of the Yucatan Peninsula, Mexico",https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.694.8023&rep=rep1&type=pdf,21,16,,N,21.26666667,87,47,,W,-87.78333333,,
"Pseudorhabdosynochus capurroi sp. n. (Monogenea: Diplectanidae) from the gills of Mycteroperca bonaci (Pisces: Serranidae) of the Yucatan Peninsula, Mexico",https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.694.8023&rep=rep1&type=pdf,20,45,,N,20.75,90,15,,W,-90.25,,
"Pseudorhabdosynochus capurroi sp. n. (Monogenea: Diplectanidae) from the gills of Mycteroperca bonaci (Pisces: Serranidae) of the Yucatan Peninsula, Mexico",https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.694.8023&rep=rep1&type=pdf,21,17,,N,21.28333333,89,40,,W,-89.66666667,,
