"scientificName","decimalLongitude","decimalLatitude"
"mybo",-81.33430556,13.36819444
"mybo",-38.6951675415,-17.9815006256
"mybo",-44.235,-23.029
"mybo",-81.1936035156,24.6051673889
"mybo",-74.1286111,11.3298611
"mybo",-38.601389,-17.721389
"mybo",-74.1283611,11.3256111
"mybo",-72.4701843262,21.6648330688
"mybo",-79.701385498,22.9150009155
"mybo",-35.0821,-8.6992
"mybo",-44.225,-23.079
"mybo",-66.6890335083,11.8822336197
"mybo",-79.1988677979,20.9659996033
"mybo",-81.348167,13.366
"mybo",-82.8095169067,24.668680191
"mybo",-38.7066650391,-17.9624996185
"mybo",-71.5999984741,21.2999992371
"mybo",-79.1449966431,22.6547222137
"mybo",-44.373,-23.167
"mybo",-79.2188644409,20.9701156616
"mybo",-38.7066650391,-17.9624996185
"mybo",-38.7066650391,-17.9624996185
"mybo",-74.2211837769,11.2447366714
"mybo",-87.4563903809,20.1141662598
"mybo",-81.4051513672,24.5460739136
"mybo",-81.5006027222,22.1468830109
"mybo",-44.297,-23.113
"mybo",-81.33430556,13.36819444
"mybo",-87.4477767944,19.8250007629
"mybo",-74.1283611,11.3256111
"mybo",-44.14,-23.043
"mybo",-81.34165,13.36515
"mybo",-79.6458816528,21.4543170929
"mybo",-72.5599975585938,12
"mybo",-44.182,-23.19
"mybo",-74.1286111,11.3298611
"mybo",-38.7018318176,-17.9599990845
"mybo",-81.352517,13.375383
"mybo",-44.15,-23.168
"mybo",-81.348167,13.366
"mybo",-38.7066650391,-17.9624996185
"mybo",-79.4091644287,21.071149826
"mybo",-38.703666687,-17.9653339386
"mybo",-81.33430556,13.36819444
"mybo",-78.444442749,22.5636119843
"mybo",-39.051111,-16.882778
"mybo",-44.583,-23.267
"mybo",-38.6951675415,-17.9815006256
"mybo",-38.6556663513,-17.968000412
"mybo",-38.703611,-18.003889
"mybo",-38.7010002136,-17.9636669159
"mybo",-38.7010002136,-17.9636669159
"mybo",-38.6923332214,-17.96733284
"mybo",-38.971111,-17.426111
"mybo",-44.421,-23.06
"mybo",-71.96114444,12.18377778
"mybo",-81.35,13.425
"mybo",-44.373,-23.167
"mybo",-81.348167,13.366
"mybo",-87.746131897,17.5942497253
"mybo",-74.1283611,11.3256111
"mybo",-81.1975631714,21.8046665192
"mybo",-74.1283611,11.3256111
"mybo",-71.96114444,12.18377778
"mybo",-38.7018318176,-17.9599990845
"mybo",-81.7023162842,24.4993839264
"mybo",-66.8944473267,11.7929000854
"mybo",-38.703666687,-17.9653339386
"mybo",-39.071389,-16.975278
"mybo",-44.148,-23.125
"mybo",-38.6556663513,-17.968000412
"mybo",-38.924722,-17.819167
"mybo",-82.9141082764,24.6340007782
"mybo",-38.6694984436,-17.9920005798
"mybo",-66.6890335083,11.8822336197
"mybo",-38.6951675415,-17.9815006256
"mybo",-38.678889,-18.048056
"mybo",-81.3970184326,21.8850841522
"mybo",-81.348167,13.366
"mybo",-38.7066650391,-17.9624996185
"mybo",-44.225,-23.079
"mybo",-44.326,-23.137
"mybo",-79.2900009155,21.0898170471
"mybo",-81.352517,13.375383
"mybo",-44.253,-23.07
"mybo",-82.9309768677,24.6428699493
"mybo",-44.315,-23.193
