"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
1321348637,"821cc27a-e3bb-4bc5-ac34-89ada245069d","http://n2t.net/ark:/65665/3b761c95e-35b3-4005-850d-dff75f6e9f9c","Animalia","Chordata",NA,"Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci",NA,"SPECIES","Mycteroperca bonaci (Poey, 1860)","Mycteroperca bonaci","","US","Florida, St. Lucie County, Fort Pierce, Harbor Isle Marina canal (middle of complex)","Florida","PRESENT",1,"bc092ff0-02e4-11dc-991f-b8a03c50a862",27.4603,-80.3025,NA,NA,NA,NA,NA,NA,2007-06-03 00:00:00,3,6,2007,2389013,2389013,"PRESERVED_SPECIMEN","USNM","FISH","USNM 415692","SMS 7730","",NA,"CC0_1_0","","Z. Foltz","","",2023-06-02 11:40:52,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID"
2564908207,"ba5b0f3a-73dd-459f-a7f1-9abc327aed00","2aca1600-30ed-4ed9-8fb9-2908dae27943","Animalia","Chordata",NA,"Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci",NA,"SPECIES","Mycteroperca bonaci (Poey, 1860)","Mycteroperca bonaci","","MX","","","PRESENT",1,"3c6ad080-bdbe-11da-ac59-b8a03c50a862",24.500235,-97.741009,3580,NA,NA,NA,NA,NA,1953-11-17 00:00:00,17,11,1953,2389013,2389013,"PRESERVED_SPECIMEN","University of Texas Biodiversity Collections (UTBC)","Ichthyology Collection","FOTX-TNHC_20801","","Fishes of Texas staff",NA,"CC0_1_0","","Henry H. Hildebrand","","",2023-06-02 21:26:28,"","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
1287549881,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.340073","Animalia","Chordata",NA,"Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci",NA,"SPECIES","Mycteroperca bonaci (Poey, 1860)","Mycteroperca bonaci","","US","Sombrero Light FL","","PRESENT",3,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",24.6256,-81.1093,NA,NA,NA,NA,NA,NA,2010-10-14 00:00:00,14,10,2010,2389013,2389013,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","GJE","","",2023-01-24 18:55:30,"","FOOTPRINT_WKT_MISMATCH"
1287818710,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.27496","Animalia","Chordata",NA,"Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci",NA,"SPECIES","Mycteroperca bonaci (Poey, 1860)","Mycteroperca bonaci","","PA","Hospital Point","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",9.3332,-82.2156,NA,NA,NA,NA,NA,NA,2015-04-11 00:00:00,11,4,2015,2389013,2389013,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","RSS","","",2023-01-24 18:55:40,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287547236,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.44079","Animalia","Chordata",NA,"Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci",NA,"SPECIES","Mycteroperca bonaci (Poey, 1860)","Mycteroperca bonaci","","CO","Starboard Harbour Buoy","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",13.3895,-81.3848,NA,NA,NA,NA,NA,NA,2011-03-20 00:00:00,20,3,2011,2389013,2389013,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","NJM","","",2023-01-24 18:55:10,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287708976,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.28476","Animalia","Chordata",NA,"Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci",NA,"SPECIES","Mycteroperca bonaci (Poey, 1860)","Mycteroperca bonaci","","BR","PAB04","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",-17.9591,-38.6556,NA,NA,NA,NA,NA,NA,2012-02-26 00:00:00,26,2,2012,2389013,2389013,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","GJE","","",2023-01-24 18:55:21,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287546997,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.29890","Animalia","Chordata",NA,"Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci",NA,"SPECIES","Mycteroperca bonaci (Poey, 1860)","Mycteroperca bonaci","","CO","Sena","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",13.3716,-81.4039,NA,NA,NA,NA,NA,NA,2011-03-18 00:00:00,18,3,2011,2389013,2389013,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","NB","","",2023-01-24 18:55:30,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287548797,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.42212","Animalia","Chordata",NA,"Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci",NA,"SPECIES","Mycteroperca bonaci (Poey, 1860)","Mycteroperca bonaci","","PA","Porvenir2","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",9.5588,-78.9514,NA,NA,NA,NA,NA,NA,2011-03-27 00:00:00,27,3,2011,2389013,2389013,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","MLD","","",2023-01-24 18:55:30,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287709455,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.33389","Animalia","Chordata",NA,"Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci",NA,"SPECIES","Mycteroperca bonaci (Poey, 1860)","Mycteroperca bonaci","","BR","TIM2","","PRESENT",2,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",-17.4784,-39.0281,NA,NA,NA,NA,NA,NA,2012-03-01 00:00:00,1,3,2012,2389013,2389013,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","GJE","","",2023-01-24 18:55:36,"","FOOTPRINT_WKT_MISMATCH"
1287545009,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.339765","Animalia","Chordata",NA,"Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci",NA,"SPECIES","Mycteroperca bonaci (Poey, 1860)","Mycteroperca bonaci","","US","Coffins Patch E FL","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",24.6858,-80.9629,NA,NA,NA,NA,NA,NA,2010-10-17 00:00:00,17,10,2010,2389013,2389013,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","GJE","","",2023-01-24 18:55:10,"","FOOTPRINT_WKT_MISMATCH"
