"decimalLongitude","decimalLatitude","scientificName","abundance","dataset"
-48.38758,-27.60351,"scze",3,"gaspar"
-48.33167,-27.26447,"scze",4,"gaspar"
-46.17621,-24.31684,"scze",3,"gaspar"
-45.688487,-24.097748,"scze",8,"gaspar"
-45.693289,-24.095842,"scze",8,"gaspar"
-45.24399,-23.8933,"scze",8,"gaspar"
-45.15812,-23.80578,"scze",5,"gaspar"
-44.50623,-23.29072,"scze",3,"gaspar"
-41.99264,-22.98628,"scze",3,"gaspar"
-41.98448,-22.98048,"scze",10,"gaspar"
-41.97975,-22.9782,"scze",5,"gaspar"
-41.99416,-22.96839,"scze",5,"gaspar"
-41.99372,-22.96573,"scze",8,"gaspar"
-42.00166,-22.96514,"scze",8,"gaspar"
-40.37878,-20.61235,"scze",3,"gaspar"
-38.71583,-17.97056,"scze",3,"gaspar"
-38.69528,-17.96472,"scze",5,"gaspar"
-38.6625,-17.96278,"scze",8,"gaspar"
-38.69778,-17.96139,"scze",3,"gaspar"
-38.529,-12.87,"scze",3,"gaspar"
-38.5491,-12.83708,"scze",3,"gaspar"
-35.19274,-9.032689,"scze",10,"gaspar"
-35.19149,-9.024256,"scze",13,"gaspar"
-35.18063,-8.9985,"scze",13,"gaspar"
-35.03442,-6.000694,"scze",4,"gaspar"
-35.10949,-5.980833,"scze",5,"gaspar"
-35.03928,-5.956183,"scze",3,"gaspar"
-35.07142,-5.591367,"scze",3,"gaspar"
-35.09007,-5.564467,"scze",4,"gaspar"
-35.0725,-5.56435,"scze",3,"gaspar"
-35.25899,-5.394114,"scze",8,"gaspar"
-38.40838,-3.5683,"scze",5,"gaspar"
-44.27903,-0.8703,"scze",3,"gaspar"
-44.264283,-0.869867,"scze",3,"gaspar"
