Title,DOI,LatH,LatM,LatS,Dir,decimalLatitude,LonH,LonM,LonS,Dir,decimalLongitude,Depth,Date
Parrotfishes of the genus Scarus in southwestern Atlantic oceanic reef environments: occasional pulse or initial colonization?,10.1007/s12526-017-0827-8,20,34,51,S,-20.58083333,34,48,15,W,-34.80416667,17-55,2014-2017
Ontogenetic foraging activity and feeding selectivity of the Brazilian endemic parrotfish Scarus zelindae,10.7717/peerj.2536,8,49,,S,-8.816666667,35,3,,W,-35.05,25-35,2014-2015
A new possible case of mimicry between two Brazilian endemic reef fish,10.1017/S1755267211000054,22,57,59,S,-22.96638889,42,0,27,W,-42.0075,,
A new possible case of mimicry between two Brazilian endemic reef fish,10.1017/S1755267211000054,22,59,30,S,-22.99166667,41,59,50,W,-41.99722222,,04/2010
"A new parrotfish (Scaridae) from Brazil, and revalidation of Sparisoma amplum (Ranzani, 1842), Sparisoma frondosum (Agassiz, 1831), Sparisoma axillare (Steindachner, 1878) and Scarus trispinosus Valenciennes, 1840",https://www.researchgate.net/publication/233514011_A_new_parrotfish_Scaridae_from_Brazil_and_revalidation_of_Sparisoma_amplum_Ranzani_1842_Sparisoma_frondosum_Agassiz_1831_Sparisoma_axillare_Steindachner_1878_and_Scarus_trispinosus_Valenciennes_1840,24,6,,S,-24.1,45,42,,W,-45.7,,15/04/1994
"A new parrotfish (Scaridae) from Brazil, and revalidation of Sparisoma amplum (Ranzani, 1842), Sparisoma frondosum (Agassiz, 1831), Sparisoma axillare (Steindachner, 1878) and Scarus trispinosus Valenciennes, 1841",https://www.researchgate.net/publication/233514011_A_new_parrotfish_Scaridae_from_Brazil_and_revalidation_of_Sparisoma_amplum_Ranzani_1842_Sparisoma_frondosum_Agassiz_1831_Sparisoma_axillare_Steindachner_1878_and_Scarus_trispinosus_Valenciennes_1841,0,52,,S,-0.8666666667,44,15,,W,-44.25,,02/07/1998
"A new parrotfish (Scaridae) from Brazil, and revalidation of Sparisoma amplum (Ranzani, 1842), Sparisoma frondosum (Agassiz, 1831), Sparisoma axillare (Steindachner, 1878) and Scarus trispinosus Valenciennes, 1842",https://www.researchgate.net/publication/233514011_A_new_parrotfish_Scaridae_from_Brazil_and_revalidation_of_Sparisoma_amplum_Ranzani_1842_Sparisoma_frondosum_Agassiz_1831_Sparisoma_axillare_Steindachner_1878_and_Scarus_trispinosus_Valenciennes_1842,14,0,,S,-14,38,30,,W,-38.5,,07/02/1994
"A new parrotfish (Scaridae) from Brazil, and revalidation of Sparisoma amplum (Ranzani, 1842), Sparisoma frondosum (Agassiz, 1831), Sparisoma axillare (Steindachner, 1878) and Scarus trispinosus Valenciennes, 1843",https://www.researchgate.net/publication/233514011_A_new_parrotfish_Scaridae_from_Brazil_and_revalidation_of_Sparisoma_amplum_Ranzani_1842_Sparisoma_frondosum_Agassiz_1831_Sparisoma_axillare_Steindachner_1878_and_Scarus_trispinosus_Valenciennes_1843,17,57,,S,-17.95,38,41,,W,-38.68333333,,10-15/01/1997
"A new parrotfish (Scaridae) from Brazil, and revalidation of Sparisoma amplum (Ranzani, 1842), Sparisoma frondosum (Agassiz, 1831), Sparisoma axillare (Steindachner, 1878) and Scarus trispinosus Valenciennes, 1844",https://www.researchgate.net/publication/233514011_A_new_parrotfish_Scaridae_from_Brazil_and_revalidation_of_Sparisoma_amplum_Ranzani_1842_Sparisoma_frondosum_Agassiz_1831_Sparisoma_axillare_Steindachner_1878_and_Scarus_trispinosus_Valenciennes_1844,24,6,,S,-24.1,45,42,,W,-45.7,,15/04/1994
"A new parrotfish (Scaridae) from Brazil, and revalidation of Sparisoma amplum (Ranzani, 1842), Sparisoma frondosum (Agassiz, 1831), Sparisoma axillare (Steindachner, 1878) and Scarus trispinosus Valenciennes, 1845",https://www.researchgate.net/publication/233514011_A_new_parrotfish_Scaridae_from_Brazil_and_revalidation_of_Sparisoma_amplum_Ranzani_1842_Sparisoma_frondosum_Agassiz_1831_Sparisoma_axillare_Steindachner_1878_and_Scarus_trispinosus_Valenciennes_1845,24,19,,S,-24.31666667,46,11,,W,-46.18333333,,11/06/1993
