"scientificName","decimalLongitude","decimalLatitude"
"scze",-39.113333,-16.951389
"scze",-39.091389,-16.895833
"scze",-38.979167,-17.875
"scze",-39.013056,-17.506111
"scze",-44.326,-23.137
"scze",-44.541,-23.268
"scze",-44.326,-23.137
"scze",-39.031944,-17.46
"scze",-44.506,-23.291
"scze",-38.924722,-17.819167
"scze",-39.085,-16.886389
"scze",-39.027778,-17.478333
"scze",-38.601389,-17.721389
"scze",-38.966389,-17.682222
"scze",-39.011111,-17.813056
"scze",-38.678889,-18.048056
"scze",-39.065278,-16.891667
"scze",-38.590556,-18.101944
"scze",-38.703611,-18.003889
"scze",-38.988333,-18.020278
"scze",-39,-18.028333
"scze",-38.639444,-18.012778
"scze",-39.272778,-17.996111
"scze",-39.051111,-16.882778
"scze",-39.000833,-17.708056
"scze",-39.048333,-17.786389
"scze",-38.971111,-17.426111
"scze",-38.978611,-17.751944
"scze",-44.506,-23.291
"scze",-38.918889,-17.745556
"scze",-38.938889,-18.005833
"scze",-38.6556,-17.9591
"scze",-38.6556,-17.9591
"scze",-38.6556,-17.9591
"scze",-38.6556,-17.9591
"scze",-38.6713,-17.9981
"scze",-38.6713,-17.9981
"scze",-38.694,-17.9655
"scze",-38.6677,-17.9836
"scze",-38.694,-17.9655
"scze",-38.6677,-17.9836
"scze",-38.6677,-17.9836
"scze",-38.6936,-17.9606
"scze",-38.6936,-17.9606
"scze",-38.6936,-17.9606
"scze",-38.6936,-17.9606
"scze",-38.6964,-17.9625
"scze",-38.9421,-17.6994
"scze",-38.9421,-17.6994
"scze",-38.9421,-17.6994
"scze",-38.9421,-17.6994
"scze",-39.0281,-17.4784
"scze",-39.0281,-17.4784
"scze",-39.0281,-17.4784
"scze",-39.0281,-17.4784
"scze",-34.80645,-20.576717
"scze",-45.021667,-23.738889
"scze",-38.7,-17.95
"scze",-45.409722,-23.760278
"scze",-38.510833,-12.971389
"scze",-34.80416667,-20.58083333
"scze",-35.05,-8.816666667
"scze",-42.0075,-22.96638889
"scze",-41.99722222,-22.99166667
"scze",-45.7,-24.1
"scze",-44.25,-0.8666666667
"scze",-38.68333333,-17.95
"scze",-45.7,-24.1
"scze",-46.18333333,-24.31666667
