"basisOfRecord","catalogNumber","collectionCode","country","county","day","decimalLatitude","decimalLongitude","eventDate","fieldNumber","institutionCode","locality","maximumDepthInMeters","minimumDepthInMeters","month","scientificName","scientificNameAuthorship","scientificNameID","waterBody","year","id","dataset_id","node_id","depth","date_start","date_mid","date_end","date_year","dropped","absence","marine","brackish","kingdom","phylum","subphylum","infraphylum","parvphylum","gigaclass","superclass","class","subclass","order","family","subfamily","genus","species","kingdomid","phylumid","subphylumid","infraphylumid","parvphylumid","gigaclassid","superclassid","classid","subclassid","orderid","familyid","subfamilyid","genusid","speciesid","aphiaID","originalScientificName","bathymetry","shoredistance","sst","sss","identifiedBy","occurrenceRemarks","recordedBy","stateProvince","typeStatus"
"PreservedSpecimen","MFSFAF1007","RAP","Brazil","Abrolhos","19",-17.819167,-38.924722,"2000-02-19T12:00:00Z","21","CI_BR","Eastern Parcel das Paredes",18,6,"2","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066","South Atlantic","2000","14d4c5e2-b7c6-4541-beb0-5104fcfc9636","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",12,950918400000,950918400000,950918400000,2000,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",23,25852,25.9,36.96,NA,NA,NA,NA,NA
"PreservedSpecimen","MFSFAF1018","RAP","Brazil","Abrolhos","26",-17.46,-39.031944,"2000-02-26T12:00:00Z","39","CI_BR","Northern Timbebas Reef, Abrolhos National Park",12,3.5,"2","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066","South Atlantic","2000","19019985-08b8-4707-a417-a08f57437360","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",7.75,951523200000,951523200000,951523200000,2000,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",6,10787,25.88,36.95,NA,NA,NA,NA,NA
"PreservedSpecimen","MFSFAF1002","RAP","Brazil","Abrolhos","16",-16.882778,-39.051111,"2000-02-16T12:00:00Z","15","CI_BR","Ponta Norte, Itacolomis Reefs",12,5,"2","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066","South Atlantic","2000","1d03e0be-e44d-4d28-86b5-c73e5c84c732","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",8.5,950659200000,950659200000,950659200000,2000,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",2,6529,25.93,36.87,NA,NA,NA,NA,NA
"PreservedSpecimen","MFSFAF1003","RAP","Brazil","Abrolhos","16",-16.895833,-39.091389,"2000-02-16T12:00:00Z","16","CI_BR","Pedra do Silva, Itacolomis Reefs",12.5,1,"2","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066","South Atlantic","2000","1f31d5fd-7d46-4003-85bb-1845e403af6b","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",6.75,950659200000,950659200000,950659200000,2000,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",6,2060,25.81,36.87,NA,NA,NA,NA,NA
"PreservedSpecimen","MFSFAF1004","RAP","Brazil","Abrolhos","17",-16.891667,-39.065278,"2000-02-17T12:00:00Z","18","CI_BR","Costao, Itacolomis Reefs",5.5,1,"2","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066","South Atlantic","2000","2ad53bfb-f9ef-487b-b1e0-f3ec8265ba75","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",3.25,950745600000,950745600000,950745600000,2000,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",5,4868,25.93,36.87,NA,NA,NA,NA,NA
"PreservedSpecimen","MFSFAF1021","RAP","Brazil","Abrolhos","28",-17.786389,-39.048333,"2000-02-28T12:00:00Z","45","CI_BR","Pedra de Leste, Parcel das Paredes",12,2.5,"2","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066","South Atlantic","2000","2f969e9a-5bfb-4f12-bb9c-f9edd9ecaaee","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",7.25,9.51696e+11,9.51696e+11,9.51696e+11,2000,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",3,13302,25.9,36.95,NA,NA,NA,NA,NA
"PreservedSpecimen","MFSFAF1005","RAP","Brazil","Abrolhos","18",-17.708056,-39.000833,"2000-02-18T12:00:00Z","19","CI_BR","Lixa Reef, Parcel das Paredes",4.5,1,"2","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066","South Atlantic","2000","490e28f8-3585-49ab-bf97-986329d5f34e","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",2.75,9.50832e+11,9.50832e+11,9.50832e+11,2000,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",13,11261,25.89,36.95,NA,NA,NA,NA,NA
"PreservedSpecimen","MFSFAF1017","RAP","Brazil","Abrolhos","26",-17.506111,-39.013056,"2000-02-26T12:00:00Z","38","CI_BR","Southern Timbebas Reef, Abrolhos National Park",13,3.5,"2","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066","South Atlantic","2000","4b29f473-c689-40bd-86df-1ec0f9c6f5bd","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",8.25,951523200000,951523200000,951523200000,2000,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",10,11149,25.87,36.95,NA,NA,NA,NA,NA
"PreservedSpecimen","FFRMGFGJG1383","Reef Fish",NA,NA,"17",-23.291,-44.506,"2003-11-17T12:00:00Z","1","MMA/BIO23","Ponta de Juatinga",22.5,22.5,"11","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066",NA,"2003","4edf3cda-6936-4e64-987a-13acf94c4a9d","eddee438-1ec9-4e50-83ca-a7ee7bc324cc","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",22.5,1069027200000,1069027200000,1069027200000,2003,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",22,8,23.65,36.01,"Ferreira, C.E.L.; Ferreira, C.G.W.; Rangel, C.A.; Mendonca, J.P.; Gerhardinger, L.C.; Filho, A.C.; Godoy, E.A.; Junior, O.L.; Gasparini, J.L.",NA,NA,NA,NA
"PreservedSpecimen","FFRMGFGJG1385","Reef Fish",NA,NA,"16",-23.268,-44.541,"2003-11-16T12:00:00Z","2","MMA/BIO23","Ponta da Mesa Enseada do Pouso",15,15,"11","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066",NA,"2003","5f439138-473a-4a14-8890-e6e2f274dc48","eddee438-1ec9-4e50-83ca-a7ee7bc324cc","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",15,1068940800000,1068940800000,1068940800000,2003,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",-114,47,23.65,36.01,"Ferreira, C.E.L.; Ferreira, C.G.W.; Rangel, C.A.; Mendonca, J.P.; Gerhardinger, L.C.; Filho, A.C.; Godoy, E.A.; Junior, O.L.; Gasparini, J.L.",NA,NA,NA,NA
