"decimalLongitude","decimalLatitude","scientificName","abundance","dataset"
-48.36701,-27.29061,"spam",3,"gaspar"
-48.36381,-27.29061,"spam",3,"gaspar"
-48.36381,-27.28436,"spam",4,"gaspar"
-48.37246,-27.27833,"spam",3,"gaspar"
-48.36848,-27.27704,"spam",3,"gaspar"
-48.33167,-27.26447,"spam",5,"gaspar"
-48.52417,-27.12222,"spam",3,"gaspar"
-48.51361,-27.11806,"spam",3,"gaspar"
-48.52111,-27.11778,"spam",3,"gaspar"
-46.17621,-24.31684,"spam",3,"gaspar"
-45.702491,-24.105182,"spam",3,"gaspar"
-45.698116,-24.100227,"spam",3,"gaspar"
-45.688487,-24.097748,"spam",3,"gaspar"
-45.693289,-24.095842,"spam",5,"gaspar"
-45.24399,-23.8933,"spam",3,"gaspar"
-42.01305,-22.99786,"spam",7,"gaspar"
-41.99878,-22.99111,"spam",3,"gaspar"
-41.99264,-22.98628,"spam",3,"gaspar"
-41.98448,-22.98048,"spam",3,"gaspar"
-41.97975,-22.9782,"spam",3,"gaspar"
-41.99416,-22.96839,"spam",3,"gaspar"
-41.99372,-22.96573,"spam",3,"gaspar"
-42.00166,-22.96514,"spam",8,"gaspar"
-40.40759,-20.69963,"spam",8,"gaspar"
-29.30109,-20.52777,"spam",3,"gaspar"
-29.30458,-20.52759,"spam",3,"gaspar"
-29.32063,-20.52482,"spam",3,"gaspar"
-29.33199,-20.52273,"spam",4,"gaspar"
-29.29819,-20.51772,"spam",4,"gaspar"
-29.30096,-20.51711,"spam",5,"gaspar"
-29.34061,-20.51461,"spam",5,"gaspar"
-29.31029,-20.50746,"spam",4,"gaspar"
-29.31739,-20.50491,"spam",7,"gaspar"
-29.34434,-20.5028,"spam",3,"gaspar"
-29.34572,-20.50245,"spam",10,"gaspar"
-29.3449,-20.5001,"spam",4,"gaspar"
-29.321,-20.499,"spam",3,"gaspar"
-29.3431,-20.49248,"spam",3,"gaspar"
-29.32957,-20.49204,"spam",3,"gaspar"
-29.33862,-20.48861,"spam",3,"gaspar"
-29.33302,-20.48823,"spam",5,"gaspar"
-28.85682,-20.47406,"spam",3,"gaspar"
-38.69778,-17.96139,"spam",3,"gaspar"
-38.64133,-13.12917,"spam",5,"gaspar"
-38.51111,-12.9386,"spam",3,"gaspar"
-38.529,-12.87,"spam",3,"gaspar"
-38.5491,-12.83708,"spam",3,"gaspar"
-38.62637,-12.80916,"spam",4,"gaspar"
-35.19149,-9.024256,"spam",3,"gaspar"
-35.10949,-5.980833,"spam",3,"gaspar"
-35.03928,-5.956183,"spam",3,"gaspar"
-35.09007,-5.564467,"spam",5,"gaspar"
-35.0725,-5.56435,"spam",4,"gaspar"
-35.25899,-5.394114,"spam",5,"gaspar"
-33.80355,-3.875172,"spam",3,"gaspar"
-33.80944,-3.872986,"spam",3,"gaspar"
-32.44599,-3.854376,"spam",5,"gaspar"
-32.44057,-3.846539,"spam",5,"gaspar"
-32.41496,-3.83904,"spam",5,"gaspar"
-32.39484,-3.834419,"spam",5,"gaspar"
-32.39059,-3.817208,"spam",3,"gaspar"
-32.39017,-3.814548,"spam",5,"gaspar"
-33.87252,-3.798292,"spam",8,"gaspar"
-38.40838,-3.5683,"spam",3,"gaspar"
-44.27903,-0.8703,"spam",4,"gaspar"
-44.264283,-0.869867,"spam",3,"gaspar"
