Title,DOI,LatH,LatM,LatS,Dir,decimalLatitude,LonH,LonM,LonS,Dir,decimalLongitude,Depth,Date
Client reef fish tolerate closer human approaches while being cleaned,10.1111/jzo.12814,3,50,,S,-3.833333333,33,49,,W,-33.81666667,0.3-3,05-06/2018
Reef fish structure and distribution in a south-western Atlantic Ocean tropical island,10.1111/j.1095-8649.2011.03138.x,20,30,,S,-20.5,29,20,,W,-29.33333333,3-46,04-06/2009
"Dentition damage in parrotfishes feeding on hard surfaces at Fernando de Noronha Archipelago, southwest Atlantic Ocean",10.3354/meps342249,3,54,,S,-3.9,32,25,,W,-32.41666667,,10-11/2005 - 05-07/2006
"Foraging activity and resource use by three parrotfish species at Fernando de Noronha Archipelago, tropical West Atlantic",10.1007/s00227-005-0233-9,3,54,,S,-3.9,32,25,,W,-32.41666667,,06-07/2002 - 05-07/2003
"A new parrotfish (Scaridae) from Brazil, and revalidation of Sparisoma amplum (Ranzani, 1842), Sparisoma frondosum (Agassiz, 1831), Sparisoma axillare (Steindachner, 1878) and Scarus trispinosus Valenciennes, 1840",https://www.researchgate.net/publication/233514011_A_new_parrotfish_Scaridae_from_Brazil_and_revalidation_of_Sparisoma_amplum_Ranzani_1842_Sparisoma_frondosum_Agassiz_1831_Sparisoma_axillare_Steindachner_1878_and_Scarus_trispinosus_Valenciennes_1840,0,52,,S,-0.8666666667,44,15,,W,-44.25,,01/05/1998
"A new parrotfish (Scaridae) from Brazil, and revalidation of Sparisoma amplum (Ranzani, 1842), Sparisoma frondosum (Agassiz, 1831), Sparisoma axillare (Steindachner, 1878) and Scarus trispinosus Valenciennes, 1841",https://www.researchgate.net/publication/233514011_A_new_parrotfish_Scaridae_from_Brazil_and_revalidation_of_Sparisoma_amplum_Ranzani_1842_Sparisoma_frondosum_Agassiz_1831_Sparisoma_axillare_Steindachner_1878_and_Scarus_trispinosus_Valenciennes_1841,3,52,,S,-3.866666667,33,50,,W,-33.83333333,,16/12/1994-10/01/1995
"A new parrotfish (Scaridae) from Brazil, and revalidation of Sparisoma amplum (Ranzani, 1842), Sparisoma frondosum (Agassiz, 1831), Sparisoma axillare (Steindachner, 1878) and Scarus trispinosus Valenciennes, 1842",https://www.researchgate.net/publication/233514011_A_new_parrotfish_Scaridae_from_Brazil_and_revalidation_of_Sparisoma_amplum_Ranzani_1842_Sparisoma_frondosum_Agassiz_1831_Sparisoma_axillare_Steindachner_1878_and_Scarus_trispinosus_Valenciennes_1842,8,22,,S,-8.366666667,35,5,,W,-35.08333333,,03/1997
"A new parrotfish (Scaridae) from Brazil, and revalidation of Sparisoma amplum (Ranzani, 1842), Sparisoma frondosum (Agassiz, 1831), Sparisoma axillare (Steindachner, 1878) and Scarus trispinosus Valenciennes, 1843",https://www.researchgate.net/publication/233514011_A_new_parrotfish_Scaridae_from_Brazil_and_revalidation_of_Sparisoma_amplum_Ranzani_1842_Sparisoma_frondosum_Agassiz_1831_Sparisoma_axillare_Steindachner_1878_and_Scarus_trispinosus_Valenciennes_1843,17,57,,S,-17.95,38,41,,W,-38.68333333,,10/06/1993
"A new parrotfish (Scaridae) from Brazil, and revalidation of Sparisoma amplum (Ranzani, 1842), Sparisoma frondosum (Agassiz, 1831), Sparisoma axillare (Steindachner, 1878) and Scarus trispinosus Valenciennes, 1844",https://www.researchgate.net/publication/233514011_A_new_parrotfish_Scaridae_from_Brazil_and_revalidation_of_Sparisoma_amplum_Ranzani_1842_Sparisoma_frondosum_Agassiz_1831_Sparisoma_axillare_Steindachner_1878_and_Scarus_trispinosus_Valenciennes_1844,24,6,,S,-24.1,45,42,,W,-45.7,,02/02/1993
"A new parrotfish (Scaridae) from Brazil, and revalidation of Sparisoma amplum (Ranzani, 1842), Sparisoma frondosum (Agassiz, 1831), Sparisoma axillare (Steindachner, 1878) and Scarus trispinosus Valenciennes, 1845",https://www.researchgate.net/publication/233514011_A_new_parrotfish_Scaridae_from_Brazil_and_revalidation_of_Sparisoma_amplum_Ranzani_1842_Sparisoma_frondosum_Agassiz_1831_Sparisoma_axillare_Steindachner_1878_and_Scarus_trispinosus_Valenciennes_1845,24,19,,S,-24.31666667,46,11,,W,-46.18333333,,20/06/1993
