"scientificName","decimalLongitude","decimalLatitude"
"spam",-39.065278,-16.891667
"spam",-39.085,-16.886389
"spam",-39.013056,-17.506111
"spam",-39.071389,-16.975278
"spam",-38.978611,-17.751944
"spam",-39.027778,-17.478333
"spam",-38.601389,-17.721389
"spam",-44.182,-23.19
"spam",-38.9421,-17.6994
"spam",-38.9421,-17.6994
"spam",-38.9421,-17.6994
"spam",-38.9421,-17.6994
"spam",-39.0281,-17.4784
"spam",-39.0281,-17.4784
"spam",-39.0281,-17.4784
"spam",-38.9972,-17.6666
"spam",-37.761231,-20.805828
"spam",-34.80645,-20.576717
"spam",-29.31035,-20.525417
"spam",-38.7,-17.95
"spam",-29.33333333,-20.5
"spam",-32.41666667,-3.9
"spam",-32.41666667,-3.9
"spam",-44.25,-0.8666666667
"spam",-33.83333333,-3.866666667
"spam",-38.68333333,-17.95
"spam",-45.7,-24.1
"spam",-46.18333333,-24.31666667
