"decimalLongitude","decimalLatitude","spam"
-88.26778,16.83611,0
-88.25278,16.86444,0
-88.23222,16.84694,0
-88.22917,16.85028,0
-88.21194,16.8825,0
-88.1,16.75,0
-88.1,16.78,0
-88.09,16.81,0
-88.08,16.78,0
-88.08,16.79,0
-88.08,16.8,0
-88.08,16.81,0
-88.07,16.87,0
-87.833,18.2667,0
-87.83167,18.21917,0
-87.83083,18.22861,0
-87.82972,18.21083,0
-87.75536,18.50632,0
-87.75527,18.49838,0
-87.75413,18.50683,0
-87.75391,18.49862,0
-87.75268,18.50721,0
-87.75201,18.49862,0
-87.7503,18.51545,0
-87.74973,18.51528,0
-87.74777,18.51529,0
-87.72514,18.65633,0
-87.72232,18.66917,0
-87.72092,18.67402,0
-87.71944,18.66201,0
-87.71886,18.66802,0
-87.71826,18.67241,0
-87.71691,18.65767,0
-87.7167,18.66677,0
-87.71662,18.67918,0
-87.7149,18.67872,0
-87.71467,18.69453,0
-87.71367,18.67373,0
-87.71345,18.69692,0
-87.71301,18.68359,0
-87.71176,18.69546,0
-87.71154,18.70398,0
-87.70889,18,0
-87.70889,18.69237,0
-87.70771,18.70611,0
-87.70627,18.71423,0
-87.70543,18.71643,0
-87.70458,18.71345,0
-87.70455,18.71749,0
-87.70444,18.71139,0
-87.70376,18.71725,0
-87.70278,18.71028,0
-87.70222,18.71528,0
-87.70194,18.7125,0
-87.70055,18.715,0
-87.62361,18.90333,0
-87.53694,19.1375,0
-87.53611,19.14583,0
-87.53334,19.15416,0
-87.47422,20.04158,0
-87.47185,20.06849,0
-87.46867,20.0685,0
-87.46626,20.0685,0
-87.46601,20.05699,0
-87.46596,20.05647,0
-87.46557,20.04399,0
-87.46556,19.7675,0
-87.46511,20.04382,0
-87.46428,20.03156,0
-87.46336,20.03135,0
-87.46093,20.05495,0
-87.46014,19.96922,0
-87.45833,19.98639,0
-87.45554,19.96923,0
-87.45094,19.96924,0
-87.45,19.2833,0
-87.44659,19.79111,0
-87.43737,19.79114,0
-87.43546,19.79111,0
-87.42981,19.48697,0
-87.42605,19.87751,0
-87.42564,19.48698,0
-87.42294,19.48699,0
-87.4226,19.87754,0
-87.41934,19.87754,0
-87.41647,19.69842,0
-87.41074,19.69844,0
-87.40555,19.57867,0
-87.405,19.69845,0
-87.39986,19.57867,0
-87.39607,19.57868,0
-87.10982,20.58115,0
-87.10977,20.5812,0
-87.04858,20.64032,0
-87.02894,20.35815,0
-87.0286,20.3772,0
-87.0284,20.37833,0
-87.02721,20.36258,0
-87.02673,20.33612,0
-87.0267,20.39622,0
-87.01948,20.29854,0
-87.01667,20.61667,0
-87.01624,20.42251,0
-87.00302,20.43923,0
-87,18,0
-86.98365,20.46868,0
-86.98365,20.4687,0
-86.9824,20.46945,0
-86.9667,20.7333,0
-86.86667,20.86028,0
