"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"salinitymean",0.271442306590428,0.442174083626539,-0.59520297221459,0.271442306590428,1.13808758539545,0.271442306590428,7.25420475430131e-17
"ph",-0.72616032377126,0.241630716498398,-1.19974782566673,-0.72616032377126,-0.252572821875791,-0.72616032377126,1.21912511279648e-17
"distcoast",-1.82286591093338,0.162985130802492,-2.14231089732182,-1.82286591093338,-1.50342092454495,-1.82286591093338,5.22349772040123e-15
"Intercept",-12.5053579732277,0.42345949151805,-13.3353233255147,-12.5053579732277,-11.6753926209407,-12.5053579732277,6.40372621806769e-15
"intercept_pa",-3.33119109853074,0.442771480570678,-4.19900725383074,-3.33119109853074,-2.46337494323073,-3.33119109853074,3.33318356411032e-15
"silicatemax",-1.56610149745245,0.412244786816512,-2.3740864324272,-1.56610149745245,-0.75811656247769,-1.56610149745245,0
"chlomean",-0.756823818871912,0.200612304477327,-1.15001671050306,-0.756823818871912,-0.363630927240767,-0.756823818871912,7.33732671647302e-16
"windspeed",0.264092279089493,0.0998821991763669,0.0683267660071576,0.264092279089493,0.459857792171828,0.264092279089493,3.7001554344272e-17
"sigma",4.10107438552442,0.421831555463909,3.31672689547509,4.08654457124276,4.97124108237734,NA,NA
"range",0.936999853241643,0.0660502104925971,0.813020834197476,0.93493970455673,1.07231521897311,NA,NA
"temp_sd",1.11970367566422,0.348563832617911,0.569685750584868,1.07587311270467,1.92122969091308,NA,NA
