"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"salinitymean",1.38876316244333,0.635852419021999,0.153798889720418,1.38415383805491,2.6495997739164,1.3748137101384,4.91015301481252e-09
"ph",-0.426180676995706,0.38084798698963,-1.16555837016592,-0.429764282964124,0.33358652902235,-0.436776086516851,1.24326296865708e-08
"distcoast",-2.4226055727893,0.249002525049055,-2.91441872744646,-2.42134452399862,-1.93783158481779,-2.41874464043274,2.51783465767331e-09
"Intercept",-13.984008332949,0.641085509488201,-15.3434357027253,-13.9449267529239,-12.8346144928652,-13.8605041096549,3.51945833369183e-07
"intercept_pa",-4.34474162444522,0.668041134633587,-5.75230759955012,-4.30759599747117,-3.13874496605535,-4.22656962853923,3.00339336572575e-07
"silicatemax",-1.81062752715131,0.573197413008685,-2.95354534838113,-1.80457982870334,-0.702047194814816,-1.79268988600046,1.07477642450176e-08
"chlomean",-0.382515980979145,0.255526067485783,-0.883642106926483,-0.382664625626089,0.11944746089844,-0.382964503488275,3.17553532170746e-10
"windspeed",0.258757417143279,0.125260543506767,0.017588432243575,0.25700028992153,0.509655543256866,0.253358906808786,1.71678780627187e-08
"sigma",5.57832294808247,0.719641997082321,4.3585933176701,5.50584239982665,7.17740385402257,NA,NA
"range",0.932047293559365,0.0758775556922038,0.788553478583282,0.930268271216707,1.08625547552206,NA,NA
"temp_sd",1.11321385416478,0.364887042712385,0.545835336077132,1.06468491481571,1.95912582675461,NA,NA
