"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"salinitymean",0.830464757224283,0.878208989397177,-0.580787528603753,0.745570728725759,3.38028794354352,0.696610347618931,3.70775599627658e-05
"ph",-0.0386258369756261,0.370019918039757,-0.758822950131676,-0.0415464386941955,0.698394504020775,-0.0470612665263627,1.2208288391735e-08
"distcoast",-1.36866516587253,0.220311823369217,-1.80480979859714,-1.3672478219057,-0.940452643616146,-1.36434781913468,3.847067561823e-09
"Intercept",-13.442609587729,0.689811293361148,-15.061548604108,-13.3745693371079,-12.2798547385463,-13.2734858230156,7.0235621892432e-07
"intercept_pa",-4.79595176839909,0.697949215999052,-6.30030215709348,-4.74915807393374,-3.55206311679543,-4.65789753262881,3.92268478619557e-07
"silicatemax",-0.857382236786945,0.562872387093675,-1.94862297339767,-0.862964596136096,0.27318392321218,-0.868622751346796,2.40892832605318e-08
"chlomean",-1.09848693710907,0.462292773501894,-2.00516475495235,-1.09844636609868,-0.191871427515741,-1.09821266410917,7.87558229241875e-11
"windspeed",0.273238981969667,0.136353572980067,0.00938478370144831,0.271830845656796,0.54505248278954,0.269035032801555,1.03672474113838e-08
"sigma",6.58924690791003,1.28103596598671,4.46118634204881,6.4512824676268,9.4766862970413,NA,NA
"range",0.810084226935668,0.078734018594024,0.667280650693416,0.805744197544974,0.976273797936471,NA,NA
"temp_sd",0.949509550082999,0.329502112563959,0.427790221922537,0.910753405606321,1.69948357843743,NA,NA
