"scen_a","scen_b","jacc","species"
"current","ssp1",0.883334586183568,"acch"
"current","ssp2",0.841452930219229,"acch"
"current","ssp3",0.788551872231915,"acch"
"current","ssp5",0.781680303332668,"acch"
"ssp1","ssp2",0.949152542372881,"acch"
"ssp1","ssp3",0.892698966581667,"acch"
"ssp1","ssp5",0.88491984301204,"acch"
"ssp2","ssp3",0.93054997992774,"acch"
"ssp2","ssp5",0.925785662082254,"acch"
"ssp3","ssp5",0.974473979288965,"acch"
"current","ssp1",0.805692514567458,"scze"
"current","ssp2",0.838544990427569,"scze"
"current","ssp3",0.623733042257914,"scze"
"current","ssp5",0.433098972417523,"scze"
"ssp1","ssp2",0.864435864435864,"scze"
"ssp1","ssp3",0.632391948821969,"scze"
"ssp1","ssp5",0.438243564784772,"scze"
"ssp2","ssp3",0.714463066418374,"scze"
"ssp2","ssp5",0.499513986391619,"scze"
"ssp3","ssp5",0.67907325968036,"scze"
"current","ssp1",0.777340407325004,"spam"
"current","ssp2",0.576800914750349,"spam"
"current","ssp3",0.399017371468679,"spam"
"current","ssp5",0.318764076576577,"spam"
"ssp1","ssp2",0.741410027996946,"spam"
"ssp1","ssp3",0.511764705882353,"spam"
"ssp1","ssp5",0.409750598844582,"spam"
"ssp2","ssp3",0.689640035118525,"spam"
"ssp2","ssp5",0.552596350313535,"spam"
"ssp3","ssp5",0.795842404663249,"spam"
"current","ssp1",0.925250997111814,"mybo"
"current","ssp2",0.858240702621106,"mybo"
"current","ssp3",0.800027374760471,"mybo"
"current","ssp5",0.744805904866047,"mybo"
"ssp1","ssp2",0.926665683962264,"mybo"
"ssp1","ssp3",0.863957077759812,"mybo"
"ssp1","ssp5",0.804564802583297,"mybo"
"ssp2","ssp3",0.931879247668721,"mybo"
"ssp2","ssp5",0.868213383838384,"mybo"
"ssp3","ssp5",0.930191383525841,"mybo"
"current","ssp1",0.759593584683853,"lujo"
"current","ssp2",0.635922671353251,"lujo"
"current","ssp3",0.510640699971775,"lujo"
"current","ssp5",0.413436928702011,"lujo"
"ssp1","ssp2",0.837188049209139,"lujo"
"ssp1","ssp3",0.669710291962575,"lujo"
"ssp1","ssp5",0.543299534118937,"lujo"
"ssp2","ssp3",0.796400449943757,"lujo"
"ssp2","ssp5",0.648253823328007,"lujo"
"ssp3","ssp5",0.809478109861987,"lujo"
