"scen_a","scen_b","jacc","species"
"current","ssp1",0.816480206540448,"acch"
"current","ssp2",0.757771417160354,"acch"
"current","ssp3",0.726501180524536,"acch"
"current","ssp5",0.647095600772991,"acch"
"ssp1","ssp2",0.926058913491589,"acch"
"ssp1","ssp3",0.878528385664447,"acch"
"ssp1","ssp5",0.791117673784643,"acch"
"ssp2","ssp3",0.936711256940939,"acch"
"ssp2","ssp5",0.852550266954447,"acch"
"ssp3","ssp5",0.89070137546891,"acch"
"current","ssp1",0.904245709123758,"scze"
"current","ssp2",0.870516922040748,"scze"
"current","ssp3",0.657006649102998,"scze"
"current","ssp5",0.445681740904454,"scze"
"ssp1","ssp2",0.892033898305085,"scze"
"ssp1","ssp3",0.665034526051475,"scze"
"ssp1","ssp5",0.449163339845409,"scze"
"ssp2","ssp3",0.731255476279885,"scze"
"ssp2","ssp5",0.496985649995754,"scze"
"ssp3","ssp5",0.663350476351066,"scze"
"current","ssp1",0.701060986474447,"spam"
"current","ssp2",0.563708574777004,"spam"
"current","ssp3",0.495034246575342,"spam"
"current","ssp5",0.454746369185435,"spam"
"ssp1","ssp2",0.802908758886063,"spam"
"ssp1","ssp3",0.703513281919452,"spam"
"ssp1","ssp5",0.648029089376054,"spam"
"ssp2","ssp3",0.875478380076541,"spam"
"ssp2","ssp5",0.806575688919332,"spam"
"ssp3","ssp5",0.912261380323054,"spam"
"current","ssp1",0.871981362577419,"mybo"
"current","ssp2",0.778822729590391,"mybo"
"current","ssp3",0.70461608000452,"mybo"
"current","ssp5",0.569084141664787,"mybo"
"ssp1","ssp2",0.892658653224764,"mybo"
"ssp1","ssp3",0.807459417675857,"mybo"
"ssp1","ssp5",0.652760815067172,"mybo"
"ssp2","ssp3",0.904460886430573,"mybo"
"ssp2","ssp5",0.731761502078257,"mybo"
"ssp3","ssp5",0.808626399621511,"mybo"
"current","ssp1",0.663813599619591,"lujo"
"current","ssp2",0.562367245294075,"lujo"
"current","ssp3",0.518959107806691,"lujo"
"current","ssp5",0.505514040227804,"lujo"
"ssp1","ssp2",0.84717644473742,"lujo"
"ssp1","ssp3",0.7817843866171,"lujo"
"ssp1","ssp5",0.761530105013662,"lujo"
"ssp2","ssp3",0.922811760729976,"lujo"
"ssp2","ssp5",0.898903775883069,"lujo"
"ssp3","ssp5",0.974027256567253,"lujo"
