"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"salinitymean",0.258925754636044,0.395161465730023,-0.516120774362752,0.258857217400724,1.03430190202609,0.258672584136595,3.83997513021917e-12
"ph",-0.492007907221892,0.257866546824294,-1.00164648010525,-0.490884720965236,0.0114583243922059,-0.488504501303763,2.8587584093686e-09
"distcoast",-2.23922456450952,0.238661000042637,-2.70951609857363,-2.23846348721525,-1.77323012155219,-2.23693697349167,9.8450123271073e-10
"Intercept",-12.552934941176,0.403438635972866,-13.3874634183819,-12.5352017134312,-11.8132375256737,-12.493576642653,1.98946813108114e-07
"intercept_pa",-3.8092287482304,0.451918833405364,-4.73776014368529,-3.79139348806568,-2.9753385241483,-3.74875643444773,1.62724017467307e-07
"silicatemax",-0.769111593498422,0.399689369093256,-1.56612383111805,-0.764668159084688,0.00294787136234095,-0.755696450987175,1.13335425054526e-08
"chlomean",-0.583137711592705,0.225694908609683,-1.03432089381161,-0.580137580824178,-0.148383115418426,-0.573751506840335,1.49667598526514e-08
"sigma",4.46968999837257,0.602633023305996,3.39365402600111,4.43210496607834,5.75686809008004,NA,NA
"range",0.797917525591548,0.066606511396714,0.677067334688219,0.794158508288073,0.938480081211948,NA,NA
"temp_sd",0.721914964392943,0.390365095121698,0.15976425108621,0.661390873386766,1.61760811463771,NA,NA
