"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"salinitymean",6.11782536427464,1.42162552597005,3.32745166818375,6.11854627592323,8.90413500988341,6.12000308138932,4.14621330920125e-11
"ph",-2.75344497250569,0.497787598504625,-3.72926444283144,-2.75372631055695,-1.77604017856452,-2.75429608263868,4.34405974068622e-11
"distcoast",-0.91666709197497,0.248062672189583,-1.40667722482014,-0.91545255880109,-0.433418620457008,-0.912933083086227,2.18115118437459e-09
"Intercept",-19.10149477436,1.10501981684084,-21.2680894456407,-19.1017288675096,-16.9335764054175,-19.1021974813476,3.39304623927941e-11
"intercept_pa",-9.70002877710345,1.09355260999976,-11.843372051944,-9.70054929144016,-7.55375547903297,-9.70160408404259,4.54127212841138e-11
"silicatemax",-7.36674975105352,1.95956647831248,-11.2098304125695,-7.36673426315726,-3.52375401049797,-7.36670064195034,5.21790163702553e-11
"chlomean",-0.154044299019926,0.303250546842425,-0.746880729584897,-0.154890103501348,0.443477551946914,-0.156673218200156,8.35762416427634e-10
"sigma",1.55076005036282,2.20589373176828,0.133221056560229,0.845952886236496,7.33763859659018,NA,NA
"range",0.0395038869239212,0.0508307846819964,0.00251050232206963,0.0231466550293706,0.176605763425132,NA,NA
"temp_sd",0.203631920370495,0.198076102350897,0.0133466046417946,0.144717334642243,0.722668228824209,NA,NA
