"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"salinitymean",1.38779360147048,1.46893334743577,-1.49310820205461,1.3877899025593,4.26871246910449,1.38777863389946,3.89491163837479e-11
"ph",-1.1742270311902,0.48327392922246,-2.12195447030093,-1.17424507731323,-0.226397217272391,-1.1742809370557,5.35461303736727e-11
"distcoast",-0.202143139746488,0.181791060319533,-0.558691772591117,-0.202133933641132,0.154353203137962,-0.202115702313437,5.27514952771353e-11
"Intercept",-21.1017261911574,1.2585188910492,-23.5701124592034,-21.1016649781735,-18.6336909333475,-21.1015470282438,4.43024652857666e-11
"intercept_pa",-9.93636275955753,1.18714711779246,-12.2647661722075,-9.93632041223106,-7.60820486253458,-9.9362415215534,3.61334882019385e-11
"silicatemax",-13.0524848382583,2.24879015815237,-17.4618169558245,-13.0528180483389,-8.64125945997226,-13.053477248996,5.18963595250396e-11
"chlomean",-1.63170029847409,0.493544755080345,-2.59995694983781,-1.63159311580894,-0.664055876300089,-1.63138426443196,4.48644942768726e-11
"windspeed",-0.273598485591297,0.200968495743633,-0.667714385077422,-0.273603763170172,0.120547318645427,-0.273614283279588,5.46465417828359e-11
"sigma",1.61811380771916,2.38189665966418,0.155352382177944,0.860707742544538,7.78887173885276,NA,NA
"range",0.030935504897019,0.0324718272256122,0.00319962189346221,0.0208699561594194,0.119354984885744,NA,NA
"temp_sd",0.251841865433081,0.26425732784831,0.0220410475153635,0.172027866992706,0.945203919160836,NA,NA
