"scenario","lost","gain","kept","total","species"
"ssp1",0,205564.285228159,910679.600448581,1116243.88567674,"acch"
"ssp2",76.5773064634368,292124.592576157,910603.023142117,1202727.61571827,"acch"
"ssp3",0,342152.144468019,910679.600448581,1252831.7449166,"acch"
"ssp5",0,497637.998547767,910679.600448581,1408317.59899635,"acch"
"current",0,0,910679.600448581,910679.600448581,"acch"
"ssp1",20298.6682867001,21820.70677284,401357.748602781,423178.455375621,"scze"
"ssp2",6173.48628576268,52224.1962245061,415482.930603718,467707.126828224,"scze"
"ssp3",512.658399957429,213501.040959527,421143.758489523,634644.79944905,"scze"
"ssp5",0,499897.657937267,421656.416889481,921554.074826748,"scze"
"current",0,0,421656.416889481,421656.416889481,"scze"
"ssp1",2733.19753722496,285196.619361949,681317.902386136,966514.521748085,"spam"
"ssp2",2562.55465463352,515721.587250325,681488.545268727,1197210.13251905,"spam"
"ssp3",1281.24553788432,676944.604937556,682769.854385477,1359714.45932303,"spam"
"ssp5",3928.77200652836,781672.618227947,680122.327916833,1461794.94614478,"spam"
"current",0,0,684051.099923361,684051.099923361,"spam"
"ssp1",171982.852622791,4955.13504579846,1191509.50356454,1196464.63861034,"mybo"
"ssp2",298330.939441879,8513.98804184774,1065161.41674545,1073675.4047873,"mybo"
"ssp3",398978.520686745,11789.8958430003,964513.835500586,976303.731343586,"mybo"
"ssp5",584724.925250117,14042.3009459689,778767.430937214,792809.731883183,"mybo"
"current",0,0,1363492.35618733,1363492.35618733,"mybo"
"ssp1",0,630094.955354542,1252636.14704145,1882731.10239599,"lujo"
"ssp2",0,956045.678020676,1252636.14704145,2208681.82506212,"lujo"
"ssp3",0,1129381.76722838,1252636.14704145,2382017.91426983,"lujo"
"ssp5",0,1189281.98573547,1252636.14704145,2441918.13277691,"lujo"
"current",0,0,1252636.14704145,1252636.14704145,"lujo"
